type,title,cast,country,rating,listed_in,cast_list,combination
TV Show,lucifer,tom ellis  lauren german  kevin alejandro,united states,TV-14,"crime tv shows, tv comedies, tv dramas",Tom Ellis  Lauren German  Kevin Alejandro,"TV Show TV-14 crime tv shows, tv comedies, tv dramas united states tom ellis  lauren german  kevin alejandro"
TV Show,metal shop masters,jo koy,unknown,TV-MA,reality tv,Jo Koy,TV Show TV-MA reality tv unknown jo koy
TV Show,pokémon master journeys: the series,ikue otani  sarah natochenny  zeno robinson,unknown,TV-Y7,"anime series, kids' tv",Ikue Otani  Sarah Natochenny  Zeno Robinson,"TV Show TV-Y7 anime series, kids' tv unknown ikue otani  sarah natochenny  zeno robinson"
TV Show,titipo titipo,jeon hae-ri  kim eun-ah  hong bum-ki,unknown,TV-Y,"kids' tv, korean tv shows",Jeon Hae-ri  Kim Eun-ah  Hong Bum-ki,"TV Show TV-Y kids' tv, korean tv shows unknown jeon hae-ri  kim eun-ah  hong bum-ki"
TV Show,mighty raju,julie tejwani  sabina malik  jigna bhardwaj,unknown,TV-Y7,kids' tv,Julie Tejwani  Sabina Malik  Jigna Bhardwaj,TV Show TV-Y7 kids' tv unknown julie tejwani  sabina malik  jigna bhardwaj
TV Show,into the night,pauline etienne  laurent capelluto  stefano cassetti,belgium,TV-MA,"international tv shows, tv dramas, tv mysteries",Pauline Etienne  Laurent Capelluto  Stefano Cassetti,"TV Show TV-MA international tv shows, tv dramas, tv mysteries belgium pauline etienne  laurent capelluto  stefano cassetti"
TV Show,the circle,michelle buteau,"united states, united kingdom",TV-MA,reality tv,Michelle Buteau,"TV Show TV-MA reality tv united states, united kingdom michelle buteau"
TV Show,kid cosmic,jack fisher  tom kenny  amanda c. miller,united states,TV-Y7,"kids' tv, tv comedies, tv sci-fi & fantasy",Jack Fisher  Tom Kenny  Amanda C. Miller,"TV Show TV-Y7 kids' tv, tv comedies, tv sci-fi & fantasy united states jack fisher  tom kenny  amanda c. miller"
TV Show,octonauts: above & beyond,antonio aakeel  chipo chung  simon foster,united kingdom,TV-Y,"british tv shows, kids' tv",Antonio Aakeel  Chipo Chung  Simon Foster,"TV Show TV-Y british tv shows, kids' tv united kingdom antonio aakeel  chipo chung  simon foster"
TV Show,on the verge,julie delpy  elisabeth shue  sarah jones,"france, united states",TV-MA,"tv comedies, tv dramas",Julie Delpy  Elisabeth Shue  Sarah Jones,"TV Show TV-MA tv comedies, tv dramas france, united states julie delpy  elisabeth shue  sarah jones"
TV Show,tobot galaxy detectives,austin abell  travis turner  cole howard,unknown,TV-Y7,kids' tv,Austin Abell  Travis Turner  Cole Howard,TV Show TV-Y7 kids' tv unknown austin abell  travis turner  cole howard
TV Show,countdown: inspiration4 mission to space,unknown,unknown,TV-14,"docuseries, science & nature tv",unknown,"TV Show TV-14 docuseries, science & nature tv unknown unknown"
TV Show,tayo the little bus,robyn slade  kami desilets,south korea,TV-Y,"kids' tv, korean tv shows",Robyn Slade  Kami Desilets,"TV Show TV-Y kids' tv, korean tv shows south korea robyn slade  kami desilets"
TV Show,bunk'd,peyton list  karan brar  skai jackson,united states,TV-G,"kids' tv, tv comedies",Peyton List  Karan Brar  Skai Jackson,"TV Show TV-G kids' tv, tv comedies united states peyton list  karan brar  skai jackson"
TV Show,dive club,aubri ibrag  sana'a shaik  miah madden,australia,TV-G,"kids' tv, tv dramas, teen tv shows",Aubri Ibrag  Sana'a Shaik  Miah Madden,"TV Show TV-G kids' tv, tv dramas, teen tv shows australia aubri ibrag  sana'a shaik  miah madden"
TV Show,la casa de papel,úrsula corberó  itziar ituño  álvaro morte,spain,TV-MA,"crime tv shows, international tv shows, spanish-language tv shows",Úrsula Corberó  Itziar Ituño  Álvaro Morte,"TV Show TV-MA crime tv shows, international tv shows, spanish-language tv shows spain úrsula corberó  itziar ituño  álvaro morte"
TV Show,money heist: from tokyo to berlin,unknown,unknown,TV-MA,"docuseries, international tv shows, spanish-language tv shows",unknown,"TV Show TV-MA docuseries, international tv shows, spanish-language tv shows unknown unknown"
TV Show,sharkdog,liam mitchell  dee bradley baker  grey griffin,"united states, singapore",TV-Y,kids' tv,Liam Mitchell  Dee Bradley Baker  Grey Griffin,"TV Show TV-Y kids' tv united states, singapore liam mitchell  dee bradley baker  grey griffin"
TV Show,heroes of goo jit zu,jon allen  kellen goff  joe hernandez,australia,TV-Y7,"kids' tv, tv comedies",Jon Allen  Kellen Goff  Joe Hernandez,"TV Show TV-Y7 kids' tv, tv comedies australia jon allen  kellen goff  joe hernandez"
TV Show,hotel del luna,lee ji-eun  yeo jin-goo  shin jung-geun,unknown,TV-14,"international tv shows, romantic tv shows, tv comedies",Lee Ji-eun  Yeo Jin-goo  Shin Jung-geun,"TV Show TV-14 international tv shows, romantic tv shows, tv comedies unknown lee ji-eun  yeo jin-goo  shin jung-geun"
TV Show,luv kushh,unknown,unknown,TV-Y7,kids' tv,unknown,TV Show TV-Y7 kids' tv unknown unknown
TV Show,pororo - the little penguin,unknown,south korea,TV-Y7,"kids' tv, korean tv shows",unknown,"TV Show TV-Y7 kids' tv, korean tv shows south korea unknown"
TV Show,q-force,sean hayes  wanda sykes  laurie metcalf,united states,TV-MA,"crime tv shows, tv action & adventure, tv comedies",Sean Hayes  Wanda Sykes  Laurie Metcalf,"TV Show TV-MA crime tv shows, tv action & adventure, tv comedies united states sean hayes  wanda sykes  laurie metcalf"
TV Show,brave animated series,tseng yun-fan  kao yun-shuo  chiang ching-yen,unknown,TV-MA,"international tv shows, tv action & adventure, tv comedies",Tseng Yun-fan  Kao Yun-shuo  Chiang Ching-yen,"TV Show TV-MA international tv shows, tv action & adventure, tv comedies unknown tseng yun-fan  kao yun-shuo  chiang ching-yen"
TV Show,how to be a cowboy,unknown,unknown,TV-PG,reality tv,unknown,TV Show TV-PG reality tv unknown unknown
TV Show,hq barbers,hakeem kae-kazim  chioma omeruah  orukotan adejola,unknown,TV-14,tv shows,Hakeem Kae-Kazim  Chioma Omeruah  Orukotan Adejola,TV Show TV-14 tv shows unknown hakeem kae-kazim  chioma omeruah  orukotan adejola
TV Show,kid-e-cats,lori gardner  kate bristol  billy bob thompson,russia,TV-Y,kids' tv,Lori Gardner  Kate Bristol  Billy Bob Thompson,TV Show TV-Y kids' tv russia lori gardner  kate bristol  billy bob thompson
TV Show,kuroko's basketball,kensho ono  yuki ono  chiwa saito,japan,TV-MA,"anime series, international tv shows, teen tv shows",Kensho Ono  Yuki Ono  Chiwa Saito,"TV Show TV-MA anime series, international tv shows, teen tv shows japan kensho ono  yuki ono  chiwa saito"
TV Show,major dad,gerald mcraney  shanna reed  nicole dubuc,united states,TV-PG,tv comedies,Gerald McRaney  Shanna Reed  Nicole Dubuc,TV Show TV-PG tv comedies united states gerald mcraney  shanna reed  nicole dubuc
TV Show,oldsters,patricio contreras  alejandro goic  sergio hernández,unknown,TV-MA,"crime tv shows, international tv shows, spanish-language tv shows",Patricio Contreras  Alejandro Goic  Sergio Hernández,"TV Show TV-MA crime tv shows, international tv shows, spanish-language tv shows unknown patricio contreras  alejandro goic  sergio hernández"
TV Show,turning point: 9/11 and the war on terror,unknown,unknown,TV-14,docuseries,unknown,TV Show TV-14 docuseries unknown unknown
TV Show,sparking joy,marie kondo,united states,TV-PG,reality tv,Marie Kondo,TV Show TV-PG reality tv united states marie kondo
TV Show,hometown cha-cha-cha,shin min-a  kim seon-ho  lee sang-yi,unknown,TV-14,"international tv shows, romantic tv shows, tv comedies",Shin Min-a  Kim Seon-ho  Lee Sang-yi,"TV Show TV-14 international tv shows, romantic tv shows, tv comedies unknown shin min-a  kim seon-ho  lee sang-yi"
TV Show,the ingenuity of the househusband,kenjiro tsuda,unknown,TV-G,"international tv shows, tv comedies",Kenjiro Tsuda,"TV Show TV-G international tv shows, tv comedies unknown kenjiro tsuda"
TV Show,bread barbershop,um sang-hyun  park yoon-hee  kang shi-hyun,unknown,TV-Y,"kids' tv, tv comedies",Um Sang-hyun  Park Yoon-hee  Kang Shi-hyun,"TV Show TV-Y kids' tv, tv comedies unknown um sang-hyun  park yoon-hee  kang shi-hyun"
TV Show,d.p.,jung hae-in  koo kyo-hwan  kim sung-kyun,", south korea",TV-MA,"international tv shows, tv dramas",Jung Hae-in  Koo Kyo-hwan  Kim Sung-kyun,"TV Show TV-MA international tv shows, tv dramas , south korea jung hae-in  koo kyo-hwan  kim sung-kyun"
TV Show,deadly sins,frank ramirez  patricia castañeda  chela del río,unknown,TV-MA,"international tv shows, spanish-language tv shows, tv dramas",Frank Ramirez  Patricia Castañeda  Chela del Río,"TV Show TV-MA international tv shows, spanish-language tv shows, tv dramas unknown frank ramirez  patricia castañeda  chela del río"
TV Show,i heart arlo,michael j. woodard  mary lambert  jonathan van ness,unknown,TV-Y7,"kids' tv, tv comedies",Michael J. Woodard  Mary Lambert  Jonathan Van Ness,"TV Show TV-Y7 kids' tv, tv comedies unknown michael j. woodard  mary lambert  jonathan van ness"
TV Show,king of boys: the return of the king,sola sobowale  toni tones  richard mofe-damijo,nigeria,TV-MA,"crime tv shows, international tv shows, tv dramas",Sola Sobowale  Toni Tones  Richard Mofe-Damijo,"TV Show TV-MA crime tv shows, international tv shows, tv dramas nigeria sola sobowale  toni tones  richard mofe-damijo"
TV Show,rebellion,charlie murphy  ruth bradley  sarah greene,ireland,TV-MA,"international tv shows, tv dramas",Charlie Murphy  Ruth Bradley  Sarah Greene,"TV Show TV-MA international tv shows, tv dramas ireland charlie murphy  ruth bradley  sarah greene"
TV Show,ride on time,king & prince  hey! say! jump  kat-tun,unknown,TV-PG,"docuseries, international tv shows",King & Prince  Hey! Say! JUMP  KAT-TUN,"TV Show TV-PG docuseries, international tv shows unknown king & prince  hey! say! jump  kat-tun"
TV Show,titletown high,unknown,unknown,TV-14,"reality tv, teen tv shows",unknown,"TV Show TV-14 reality tv, teen tv shows unknown unknown"
TV Show,edens zero,takuma terashima  mikako komatsu  rie kugimiya,japan,TV-14,"anime series, international tv shows",Takuma Terashima  Mikako Komatsu  Rie Kugimiya,"TV Show TV-14 anime series, international tv shows japan takuma terashima  mikako komatsu  rie kugimiya"
TV Show,family reunion,loretta devine  tia mowry-hardrict  anthony alabi,united states,TV-PG,"kids' tv, tv comedies",Loretta Devine  Tia Mowry-Hardrict  Anthony Alabi,"TV Show TV-PG kids' tv, tv comedies united states loretta devine  tia mowry-hardrict  anthony alabi"
TV Show,clickbait,zoe kazan  betty gabriel  adrian grenier,unknown,TV-MA,"crime tv shows, tv dramas, tv mysteries",Zoe Kazan  Betty Gabriel  Adrian Grenier,"TV Show TV-MA crime tv shows, tv dramas, tv mysteries unknown zoe kazan  betty gabriel  adrian grenier"
TV Show,john of god: the crimes of a spiritual healer,unknown,unknown,TV-MA,"crime tv shows, docuseries, international tv shows",unknown,"TV Show TV-MA crime tv shows, docuseries, international tv shows unknown unknown"
TV Show,motel makeover,unknown,unknown,TV-14,"international tv shows, reality tv",unknown,"TV Show TV-14 international tv shows, reality tv unknown unknown"
TV Show,open your eyes,maria wawreniuk  ignacy liss  michał sikorski,unknown,TV-MA,"international tv shows, tv dramas, tv mysteries",Maria Wawreniuk  Ignacy Liss  Michał Sikorski,"TV Show TV-MA international tv shows, tv dramas, tv mysteries unknown maria wawreniuk  ignacy liss  michał sikorski"
TV Show,post mortem: no one dies in skarnes,kathrine thorborg johansen  elias holmen sørensen  andré sørum,unknown,TV-MA,"international tv shows, tv comedies, tv dramas",Kathrine Thorborg Johansen  Elias Holmen Sørensen  André Sørum,"TV Show TV-MA international tv shows, tv comedies, tv dramas unknown kathrine thorborg johansen  elias holmen sørensen  andré sørum"
TV Show,wheel of fortune,pat sajak  vanna white,united states,TV-G,reality tv,Pat Sajak  Vanna White,TV Show TV-G reality tv united states pat sajak  vanna white
TV Show,oggy oggy,unknown,unknown,TV-Y,"kids' tv, tv comedies",unknown,"TV Show TV-Y kids' tv, tv comedies unknown unknown"
TV Show,manifest,melissa roxburgh  josh dallas  athena karkanis,united states,TV-14,"tv dramas, tv mysteries, tv sci-fi & fantasy",Melissa Roxburgh  Josh Dallas  Athena Karkanis,"TV Show TV-14 tv dramas, tv mysteries, tv sci-fi & fantasy united states melissa roxburgh  josh dallas  athena karkanis"
TV Show,comedy premium league,unknown,unknown,TV-MA,"international tv shows, tv comedies",unknown,"TV Show TV-MA international tv shows, tv comedies unknown unknown"
TV Show,everything will be fine,lucía uribe  flavio medina  isabella vazquez morales,unknown,TV-MA,"international tv shows, spanish-language tv shows, tv comedies",Lucía Uribe  Flavio Medina  Isabella Vazquez Morales,"TV Show TV-MA international tv shows, spanish-language tv shows, tv comedies unknown lucía uribe  flavio medina  isabella vazquez morales"
TV Show,korean cold noodle rhapsody,paik jong-won,unknown,TV-PG,"docuseries, international tv shows",Paik Jong-won,"TV Show TV-PG docuseries, international tv shows unknown paik jong-won"
TV Show,the chair,sandra oh  jay duplass  holland taylor,unknown,TV-MA,"tv comedies, tv dramas",Sandra Oh  Jay Duplass  Holland Taylor,"TV Show TV-MA tv comedies, tv dramas unknown sandra oh  jay duplass  holland taylor"
TV Show,go! go! cory carson,alan c. lim  paul killam  maisie benson,united states,TV-Y,kids' tv,Alan C. Lim  Paul Killam  Maisie Benson,TV Show TV-Y kids' tv united states alan c. lim  paul killam  maisie benson
TV Show,the defeated,taylor kitsch  nina hoss  logan marshall-green,unknown,TV-MA,"crime tv shows, international tv shows, tv dramas",Taylor Kitsch  Nina Hoss  Logan Marshall-Green,"TV Show TV-MA crime tv shows, international tv shows, tv dramas unknown taylor kitsch  nina hoss  logan marshall-green"
TV Show,mother goose club,unknown,united states,TV-Y,kids' tv,unknown,TV Show TV-Y kids' tv united states unknown
TV Show,rascal does not dream of bunny girl senpai,kaito ishikawa  asami seto  nao toyama,japan,TV-14,"anime series, international tv shows, romantic tv shows",Kaito Ishikawa  Asami Seto  Nao Toyama,"TV Show TV-14 anime series, international tv shows, romantic tv shows japan kaito ishikawa  asami seto  nao toyama"
TV Show,the creative indians,unknown,india,TV-MA,"docuseries, international tv shows",unknown,"TV Show TV-MA docuseries, international tv shows india unknown"
TV Show,winx club,liza jacqueline  helena evangeliou  lisa ortiz,italy,TV-Y7,kids' tv,Liza Jacqueline  Helena Evangeliou  Lisa Ortiz,TV Show TV-Y7 kids' tv italy liza jacqueline  helena evangeliou  lisa ortiz
TV Show,brand new cherry flavor,rosa salazar  eric lange  catherine keener,united states,TV-MA,"tv dramas, tv horror, tv mysteries",Rosa Salazar  Eric Lange  Catherine Keener,"TV Show TV-MA tv dramas, tv horror, tv mysteries united states rosa salazar  eric lange  catherine keener"
TV Show,fast & furious spy racers,tyler posey  charlet chung  jorge diaz,united states,TV-Y7,kids' tv,Tyler Posey  Charlet Chung  Jorge Diaz,TV Show TV-Y7 kids' tv united states tyler posey  charlet chung  jorge diaz
TV Show,gone for good,finnegan oldfield  nicolas duvauchelle  guillaume gouix,france,TV-MA,"crime tv shows, international tv shows, tv dramas",Finnegan Oldfield  Nicolas Duvauchelle  Guillaume Gouix,"TV Show TV-MA crime tv shows, international tv shows, tv dramas france finnegan oldfield  nicolas duvauchelle  guillaume gouix"
TV Show,grace and frankie,jane fonda  lily tomlin  martin sheen,united states,TV-MA,"tv comedies, tv dramas",Jane Fonda  Lily Tomlin  Martin Sheen,"TV Show TV-MA tv comedies, tv dramas united states jane fonda  lily tomlin  martin sheen"
TV Show,the kingdom,chino darín  nancy dupláa  joaquín furriel,argentina,TV-MA,"crime tv shows, international tv shows, spanish-language tv shows",Chino Darín  Nancy Dupláa  Joaquín Furriel,"TV Show TV-MA crime tv shows, international tv shows, spanish-language tv shows argentina chino darín  nancy dupláa  joaquín furriel"
TV Show,valeria,diana gómez  silma lópez  paula malia,spain,TV-MA,"international tv shows, romantic tv shows, spanish-language tv shows",Diana Gómez  Silma López  Paula Malia,"TV Show TV-MA international tv shows, romantic tv shows, spanish-language tv shows spain diana gómez  silma lópez  paula malia"
TV Show,alrawabi school for girls,andria tayeh  rakeen sa'ad  noor taher,jordan,TV-14,"international tv shows, tv dramas, teen tv shows",Andria Tayeh  Rakeen Sa'ad  Noor Taher,"TV Show TV-14 international tv shows, tv dramas, teen tv shows jordan andria tayeh  rakeen sa'ad  noor taher"
TV Show,bake squad,unknown,united states,TV-PG,reality tv,unknown,TV Show TV-PG reality tv united states unknown
TV Show,gabby's dollhouse,laila lockhart kraner  tucker chandler  juliet donenfeld,united states,TV-Y,kids' tv,Laila Lockhart Kraner  Tucker Chandler  Juliet Donenfeld,TV Show TV-Y kids' tv united states laila lockhart kraner  tucker chandler  juliet donenfeld
TV Show,i need romance,khemanit jamikorn  thitipoom techaapaikhun  kannaporn puangthong,unknown,TV-14,"international tv shows, romantic tv shows, tv comedies",Khemanit Jamikorn  Thitipoom Techaapaikhun  Kannaporn Puangthong,"TV Show TV-14 international tv shows, romantic tv shows, tv comedies unknown khemanit jamikorn  thitipoom techaapaikhun  kannaporn puangthong"
TV Show,las muñecas de la mafia,amparo grisales  fernando solórzano  angelica blandon,colombia,TV-MA,"crime tv shows, international tv shows, spanish-language tv shows",Amparo Grisales  Fernando Solórzano  Angelica Blandon,"TV Show TV-MA crime tv shows, international tv shows, spanish-language tv shows colombia amparo grisales  fernando solórzano  angelica blandon"
TV Show,the crowned clown,yeo jin-goo  lee se-young  kim sang-kyung,south korea,TV-14,"international tv shows, romantic tv shows, tv dramas",Yeo Jin-goo  Lee Se-young  Kim Sang-kyung,"TV Show TV-14 international tv shows, romantic tv shows, tv dramas south korea yeo jin-goo  lee se-young  kim sang-kyung"
TV Show,shaman king,yoko hikasa  katsuyuki konishi  megumi hayashibara,japan,TV-14,"anime series, international tv shows",Yoko Hikasa  Katsuyuki Konishi  Megumi Hayashibara,"TV Show TV-14 anime series, international tv shows japan yoko hikasa  katsuyuki konishi  megumi hayashibara"
TV Show,hit & run,lior raz  kaelen ohm  sanaa lathan,"israel, united states",TV-MA,"tv action & adventure, tv dramas, tv mysteries",Lior Raz  Kaelen Ohm  Sanaa Lathan,"TV Show TV-MA tv action & adventure, tv dramas, tv mysteries israel, united states lior raz  kaelen ohm  sanaa lathan"
TV Show,navarasa,suriya  vijay sethupathi  revathy,india,TV-MA,tv shows,Suriya  Vijay Sethupathi  Revathy,TV Show TV-MA tv shows india suriya  vijay sethupathi  revathy
TV Show,car masters: rust to riches,mark towle  shawn pilot  constance nunes,unknown,TV-PG,reality tv,Mark Towle  Shawn Pilot  Constance Nunes,TV Show TV-PG reality tv unknown mark towle  shawn pilot  constance nunes
TV Show,cocaine cowboys: the kings of miami,unknown,united states,TV-MA,"crime tv shows, docuseries",unknown,"TV Show TV-MA crime tv shows, docuseries united states unknown"
TV Show,control z,ana valeria becerril  michael ronda  yankel stevan,mexico,TV-MA,"international tv shows, spanish-language tv shows, tv dramas",Ana Valeria Becerril  Michael Ronda  Yankel Stevan,"TV Show TV-MA international tv shows, spanish-language tv shows, tv dramas mexico ana valeria becerril  michael ronda  yankel stevan"
TV Show,cooking with paris,paris hilton,united states,TV-MA,reality tv,Paris Hilton,TV Show TV-MA reality tv united states paris hilton
TV Show,autumn's concerto,ady an  vanness wu  ann hsu,taiwan,TV-14,"international tv shows, romantic tv shows, tv dramas",Ady An  Vanness Wu  Ann Hsu,"TV Show TV-14 international tv shows, romantic tv shows, tv dramas taiwan ady an  vanness wu  ann hsu"
