director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
ridley scott,mark addy,william hurt,scott grimes,action adventure drama history,Robin Hood
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,The Hobbit: The Desolation of Smaug
chris weitz,christopher lee,eva green,kristin scott thomas,adventure family fantasy,The Golden Compass
peter jackson,naomi watts,thomas kretschmann,evan parke,action adventure drama romance,King Kong
james cameron,leonardo dicaprio,kate winslet,gloria stuart,drama romance,Titanic
anthony russo,robert downey jr.,scarlett johansson,chris evans,action adventure sci-fi,Captain America: Civil War
peter berg,liam neeson,alexander skarsgård,tadanobu asano,action adventure sci-fi thriller,Battleship
colin trevorrow,bryce dallas howard,judy greer,omar sy,action adventure sci-fi thriller,Jurassic World
sam mendes,albert finney,helen mccrory,rory kinnear,action adventure thriller,Skyfall
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,Spider-Man 2
shane black,robert downey jr.,jon favreau,don cheadle,action adventure sci-fi,Iron Man 3
tim burton,johnny depp,alan rickman,anne hathaway,adventure family fantasy,Alice in Wonderland
brett ratner,hugh jackman,kelsey grammer,daniel cudmore,action adventure fantasy sci-fi thriller,X-Men: The Last Stand
dan scanlon,steve buscemi,tyler labine,sean hayes,adventure animation comedy family fantasy,Monsters University
michael bay,glenn morshower,kevin dunn,ramon rodriguez,action adventure sci-fi,Transformers: Revenge of the Fallen
michael bay,bingbing li,sophia myles,kelsey grammer,action adventure sci-fi,Transformers: Age of Extinction
sam raimi,tim holmes,mila kunis,james franco,adventure family fantasy,Oz the Great and Powerful
marc webb,emma stone,andrew garfield,b.j. novak,action adventure fantasy sci-fi,The Amazing Spider-Man 2
joseph kosinski,jeff bridges,olivia wilde,james frain,action adventure sci-fi,TRON: Legacy
john lasseter,joe mantegna,thomas kretschmann,eddie izzard,adventure animation comedy family sport,Cars 2
martin campbell,ryan reynolds,temuera morrison,taika waititi,action adventure sci-fi,Green Lantern
lee unkrich,tom hanks,john ratzenberger,don rickles,adventure animation comedy family fantasy,Toy Story 3
mcg,christian bale,bryce dallas howard,common,action adventure sci-fi,Terminator Salvation
james wan,jason statham,paul walker,vin diesel,action crime thriller,Furious 7
marc forster,peter capaldi,brad pitt,mireille enos,action adventure horror sci-fi thriller,World War Z
bryan singer,jennifer lawrence,peter dinklage,hugh jackman,action adventure fantasy sci-fi thriller,X-Men: Days of Future Past
j.j. abrams,benedict cumberbatch,bruce greenwood,noel clarke,action adventure sci-fi,Star Trek Into Darkness
bryan singer,eddie marsan,ewen bremner,ralph brown,adventure fantasy,Jack the Giant Slayer
baz luhrmann,leonardo dicaprio,elizabeth debicki,steve bisley,drama romance,The Great Gatsby
mike newell,jake gyllenhaal,richard coyle,reece ritchie,action adventure fantasy romance,Prince of Persia: The Sands of Time
guillermo del toro,charlie hunnam,clifton collins jr.,larry joe campbell,action adventure sci-fi,Pacific Rim
michael bay,glenn morshower,lester speight,kevin dunn,action adventure sci-fi,Transformers: Dark of the Moon
steven spielberg,harrison ford,ray winstone,jim broadbent,action adventure fantasy,Indiana Jones and the Kingdom of the Crystal Skull
peter sohn,a.j. buckley,jack mcgraw,peter sohn,adventure animation comedy family fantasy,The Good Dinosaur
mark andrews,kelly macdonald,john ratzenberger,julie walters,adventure animation comedy family fantasy,Brave
justin lin,sofia boutella,melissa roxburgh,lydia wilson,action adventure sci-fi thriller,Star Trek Beyond
andrew stanton,john ratzenberger,fred willard,jeff garlin,adventure animation family sci-fi,WALL·E
brett ratner,tzi ma,dana ivey,noémie lenoir,action comedy crime thriller,Rush Hour 3
roland emmerich,oliver platt,liam james,tom mccarthy,action adventure sci-fi,2012
robert zemeckis,robin wright,colin firth,gary oldman,animation drama family fantasy,A Christmas Carol
lana wachowski,channing tatum,mila kunis,eddie redmayne,action adventure sci-fi,Jupiter Ascending
david yates,christoph waltz,alexander skarsgård,casper crump,action adventure drama romance,The Legend of Tarzan
andrew adamson,jim broadbent,kiran shah,shane rangi,adventure family fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
bryan singer,jennifer lawrence,michael fassbender,tye sheridan,action adventure sci-fi,X-Men: Apocalypse
christopher nolan,christian bale,heath ledger,morgan freeman,action crime drama thriller,The Dark Knight
pete docter,john ratzenberger,delroy lindo,jess harnell,adventure animation comedy family,Up
rob letterman,amy poehler,rainn wilson,stephen colbert,action adventure animation comedy family sci-fi,Monsters vs. Aliens
jon favreau,robert downey jr.,jeff bridges,jon favreau,action adventure sci-fi,Iron Man
martin scorsese,chloë grace moretz,christopher lee,ray winstone,adventure drama family mystery,Hugo
barry sonnenfeld,will smith,salma hayek,bai ling,action comedy sci-fi western,Wild Wild West
rob cohen,jet li,brendan fraser,russell wong,action adventure fantasy horror thriller,The Mummy: Tomb of the Dragon Emperor
david ayer,will smith,robin atkin downes,ike barinholtz,action adventure comedy sci-fi,Suicide Squad
tom shadyac,jimmy bennett,morgan freeman,steve carell,comedy family fantasy,Evan Almighty
doug liman,tom cruise,lara pulver,noah taylor,action adventure sci-fi,Edge of Tomorrow
kevin reynolds,jeanne tripplehorn,rick aviles,zakes mokae,action adventure sci-fi thriller,Waterworld
stephen sommers,joseph gordon-levitt,dennis quaid,leo howard,action adventure sci-fi thriller,G.I. Joe: The Rise of Cobra
pete docter,amy poehler,mindy kaling,phyllis smith,adventure animation comedy drama family fantasy,Inside Out
jon favreau,scarlett johansson,bill murray,garry shandling,adventure drama family fantasy,The Jungle Book
jon favreau,robert downey jr.,scarlett johansson,jon favreau,action adventure sci-fi,Iron Man 2
rupert sanders,chris hemsworth,kristen stewart,sam claflin,action adventure drama fantasy,Snow White and the Huntsman
robert stromberg,angelina jolie pitt,sharlto copley,sam riley,action adventure family fantasy romance,Maleficent
matt reeves,gary oldman,judy greer,kodi smit-mcphee,action adventure drama sci-fi,Dawn of the Planet of the Apes
roland joffé,tamsin egerton,alice englert,bipasha basu,action adventure romance sci-fi,The Lovers
carl rinsch,keanu reeves,cary-hiroyuki tagawa,jin akanishi,action adventure drama fantasy,47 Ronin
anthony russo,scarlett johansson,chris evans,hayley atwell,action adventure sci-fi,Captain America: The Winter Soldier
mike mitchell,jon hamm,kathy griffin,mary kay place,adventure animation comedy family fantasy,Shrek Forever After
brad bird,judy greer,chris bauer,thomas robinson,action adventure family mystery sci-fi,Tomorrowland
don hall,damon wayans jr.,daniel henney,abraham benrubi,action adventure animation comedy drama family sci-fi,Big Hero 6
rich moore,jack mcbrayer,sarah silverman,joe lo truglio,adventure animation comedy family sci-fi,Wreck-It Ralph
robert zemeckis,tom hanks,eddie deezen,peter scolari,adventure animation family fantasy,The Polar Express
roland emmerich,vivica a. fox,sela ward,judd hirsch,action adventure sci-fi,Independence Day: Resurgence
dean deblois,gerard butler,america ferrera,craig ferguson,adventure animation family fantasy,How to Train Your Dragon
jonathan mostow,nick stahl,m.c. gainey,carolyn hennesy,action sci-fi,Terminator 3: Rise of the Machines
james gunn,bradley cooper,vin diesel,djimon hounsou,action adventure sci-fi,Guardians of the Galaxy
christopher nolan,matthew mcconaughey,anne hathaway,mackenzie foy,adventure drama sci-fi,Interstellar
christopher nolan,leonardo dicaprio,tom hardy,joseph gordon-levitt,action adventure sci-fi thriller,Inception
hideaki anno,mark chinnery,shin'ya tsukamoto,atsuko maeda,action adventure drama horror sci-fi,Godzilla Resurgence
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,The Hobbit: An Unexpected Journey
rob cohen,paul walker,vin diesel,jordana brewster,action crime thriller,The Fast and the Furious
david fincher,brad pitt,jason flemyng,julia ormond,drama fantasy romance,The Curious Case of Benjamin Button
matthew vaughn,jennifer lawrence,michael fassbender,oliver platt,action adventure sci-fi,X-Men: First Class
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi,The Hunger Games: Mockingjay - Part 2
jon turteltaub,nicolas cage,omar benson miller,robert capron,action adventure family fantasy,The Sorcerer's Apprentice
wolfgang petersen,jimmy bennett,mike vogel,andre braugher,action adventure drama thriller,Poseidon
james bobin,johnny depp,alan rickman,anne hathaway,adventure family fantasy,Alice Through the Looking Glass
chris miller,justin timberlake,eric idle,rupert everett,adventure animation comedy family fantasy,Shrek the Third
duncan jones,dominic cooper,callum rennie,ruth negga,action adventure fantasy,Warcraft
alan taylor,j.k. simmons,emilia clarke,matt smith,action adventure sci-fi,Terminator Genisys
michael apted,bruce spence,shane rangi,laura brent,adventure family fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader
michael bay,jennifer garner,jaime king,mako,action drama history romance war,Pearl Harbor
michael bay,zack ward,michael o'neill,kevin dunn,action adventure sci-fi,Transformers
oliver stone,anthony hopkins,angelina jolie pitt,brian blessed,action adventure biography drama history romance war,Alexander
david yates,robert pattinson,daniel radcliffe,fiona shaw,adventure family fantasy mystery,Harry Potter and the Order of the Phoenix
mike newell,robert pattinson,daniel radcliffe,rupert grint,adventure family fantasy mystery,Harry Potter and the Goblet of Fire
peter berg,will smith,charlize theron,eddie marsan,action drama,Hancock
francis lawrence,will smith,alice braga,willow smith,drama horror sci-fi,I Am Legend
tim burton,johnny depp,christopher lee,david kelly,adventure comedy family fantasy,Charlie and the Chocolate Factory
brad bird,janeane garofalo,john ratzenberger,brian dennehy,animation comedy family fantasy,Ratatouille
christopher nolan,christian bale,liam neeson,morgan freeman,action adventure,Batman Begins
eric darnell,bernie mac,jada pinkett smith,cedric the entertainer,action adventure animation comedy family,Madagascar: Escape 2 Africa
shawn levy,robin williams,rami malek,steve coogan,adventure comedy family fantasy,Night at the Museum: Battle of the Smithsonian
gavin hood,hugh jackman,ryan reynolds,dominic monaghan,action adventure fantasy sci-fi thriller,X-Men Origins: Wolverine
lana wachowski,essie davis,collin chou,nona gaye,action sci-fi,The Matrix Revolutions
chris buck,josh gad,maurice lamarche,livvy stubenrauch,adventure animation comedy family fantasy musical,Frozen
lana wachowski,steve bastoni,daniel bernhardt,helmut bakaitis,action sci-fi,The Matrix Reloaded
alan taylor,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,Thor: The Dark World
george miller,tom hardy,charlize theron,zoë kravitz,action adventure sci-fi thriller,Mad Max: Fury Road
ron howard,tom hanks,ayelet zurer,armin mueller-stahl,mystery thriller,Angels & Demons
kenneth branagh,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,Thor
byron howard,chloë grace moretz,diedrich bader,james lipton,adventure animation comedy drama family,Bolt
hoyt yeatman,kelli garner,piper mackenzie harris,niecy nash,action adventure animation comedy family fantasy sci-fi,G-Force
jonathan liebesman,liam neeson,edgar ramírez,lily james,action adventure fantasy,Wrath of the Titans
tim burton,johnny depp,chloë grace moretz,christopher lee,comedy fantasy horror,Dark Shadows
christopher mcquarrie,tom cruise,jeremy renner,sean harris,action adventure thriller,Mission: Impossible - Rogue Nation
joe johnston,anthony hopkins,simon merrells,art malik,drama fantasy horror thriller,The Wolfman
david yates,christoph waltz,alexander skarsgård,casper crump,action adventure drama romance,The Legend of Tarzan
steve hickner,matthew broderick,oprah winfrey,rip torn,adventure animation comedy family,Bee Movie
jennifer yuh nelson,angelina jolie pitt,gary oldman,mike bell,action adventure animation comedy family,Kung Fu Panda 2
m. night shyamalan,seychelle gabriel,noah ringer,aasif mandvi,action adventure family fantasy,The Last Airbender
j.j. abrams,philip seymour hoffman,tom cruise,eddie marsan,action adventure thriller,Mission: Impossible III
roland emmerich,channing tatum,jake weber,matt craven,action drama thriller,White House Down
simon wells,elisabeth harnois,dan fogler,tom everett scott,action adventure animation comedy family sci-fi,Mars Needs Moms
david bowers,hugh jackman,kate winslet,david suchet,adventure animation comedy family,Flushed Away
joe wright,hugh jackman,cara delevingne,nonso anozie,adventure family fantasy,Pan
rob minkoff,ty burrell,zach callison,karan brar,adventure animation comedy family sci-fi,Mr. Peabody & Sherman
wolfgang petersen,brad pitt,orlando bloom,julian glover,adventure,Troy
eric darnell,jada pinkett smith,martin short,cedric the entertainer,adventure animation comedy family,Madagascar 3: Europe's Most Wanted
lee tamahori,toby stephens,colin salmon,rick yune,action adventure thriller,Die Another Day
paul feig,ed begley jr.,kate mckinnon,zach woods,action comedy fantasy sci-fi,Ghostbusters
michael bay,bruce willis,steve buscemi,will patton,action adventure sci-fi thriller,Armageddon
barry sonnenfeld,will smith,rosario dawson,rip torn,action adventure comedy family fantasy mystery sci-fi,Men in Black II
robert zemeckis,robin wright,anthony hopkins,sebastian roché,action adventure animation fantasy,Beowulf
alessandro carloni,j.k. simmons,angelina jolie pitt,wayne knight,action adventure animation comedy family,Kung Fu Panda 3
brad bird,tom cruise,jeremy renner,michael nyqvist,action adventure thriller,Mission: Impossible - Ghost Protocol
peter ramsey,hugh jackman,kamil mcfadden,khamani griffin,adventure animation family fantasy,Rise of the Guardians
dean parisot,john michael higgins,richard burgi,david herman,comedy crime,Fun with Dick and Jane
edward zwick,tom cruise,tony goldwyn,chad lindberg,action drama history war,The Last Samurai
ridley scott,christian bale,maría valverde,ben mendelsohn,action adventure drama,Exodus: Gods and Kings
j.j. abrams,chris hemsworth,leonard nimoy,bruce greenwood,action adventure sci-fi,Star Trek
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,Spider-Man
dean deblois,gerard butler,djimon hounsou,america ferrera,action adventure animation comedy family fantasy,How to Train Your Dragon 2
alex proyas,gerard butler,elodie yung,bryan brown,action adventure fantasy,Gods of Egypt
rob cohen,sam shepard,joe morton,richard roxburgh,action adventure sci-fi thriller,Stealth
zack snyder,matt frewer,billy crudup,stephen mchattie,action drama mystery sci-fi,Watchmen
richard donner,jet li,rene russo,darlene love,action crime thriller,Lethal Weapon 4
ang lee,kevin rankin,regi davis,celia weston,action sci-fi,Hulk
jon m. chu,channing tatum,dwayne johnson,elodie yung,action adventure sci-fi thriller,G.I. Joe: Retaliation
breck eisner,matthew mcconaughey,rainn wilson,delroy lindo,action adventure comedy thriller,Sahara
hironobu sakaguchi,steve buscemi,ming-na wen,jean simmons,action adventure animation fantasy romance sci-fi,Final Fantasy: The Spirits Within
joe johnston,chris evans,dominic cooper,hayley atwell,action adventure sci-fi,Captain America: The First Avenger
michael apted,colin salmon,maria grazia cucinotta,desmond llewelyn,action adventure thriller,The World Is Not Enough
peter weir,james d'arcy,lee ingleby,david threlfall,action adventure drama history war,Master and Commander: The Far Side of the World
bill condon,robert pattinson,kristen stewart,taylor lautner,adventure drama fantasy romance,The Twilight Saga: Breaking Dawn - Part 2
george miller,robin williams,brad pitt,common,animation comedy family musical,Happy Feet 2
louis leterrier,ty burrell,peter mensah,william hurt,action adventure sci-fi,The Incredible Hulk
unknown,don johnson,philip michael thomas,john diehl,action crime drama mystery thriller,Miami Vice            
steven spielberg,mark rylance,penelope wilton,rafe spall,adventure family fantasy,The BFG
alejandro g. iñárritu,leonardo dicaprio,tom hardy,lukas haas,adventure drama thriller western,The Revenant
david soren,ryan reynolds,snoop dogg,ben schwartz,adventure animation comedy family sport,Turbo
gore verbinski,johnny depp,ray winstone,stephen root,adventure animation comedy family western,Rango
eric darnell,benedict cumberbatch,annet mahendru,andy richter,adventure animation comedy family,Penguins of Madagascar
paul greengrass,matt damon,edgar ramírez,albert finney,action mystery thriller,The Bourne Ultimatum
mark osborne,angelina jolie pitt,wayne knight,dan fogler,action adventure animation comedy family,Kung Fu Panda
peyton reed,judy greer,hayley atwell,t.i.,action adventure comedy sci-fi,Ant-Man
francis lawrence,jennifer lawrence,josh hutcherson,sandra ellis lafferty,adventure sci-fi thriller,The Hunger Games: Catching Fire
bill condon,robert pattinson,kristen stewart,taylor lautner,adventure drama fantasy romance,The Twilight Saga: Breaking Dawn - Part 2
tim johnson,jim parsons,matt jones,april winchell,adventure animation comedy family fantasy sci-fi,Home
steven spielberg,tom cruise,lisa ann walter,rick gonzalez,adventure sci-fi thriller,War of the Worlds
michael bay,will smith,henry rollins,jordi mollà,action comedy crime thriller,Bad Boys II
chris miller,salma hayek,constance marie,amy sedaris,action adventure animation comedy family fantasy,Puss in Boots
phillip noyce,angelina jolie pitt,andre braugher,august diehl,action crime mystery thriller,Salt
darren aronofsky,anthony hopkins,emma watson,logan lerman,action adventure drama,Noah
steven spielberg,toby jones,mackenzie crook,tony curran,action adventure family mystery,The Adventures of Tintin
alfonso cuarón,daniel radcliffe,gary oldman,rupert grint,adventure family fantasy mystery,Harry Potter and the Prisoner of Azkaban
baz luhrmann,essie davis,bryan brown,eddie baroo,adventure drama romance war,Australia
m. night shyamalan,will smith,zoë kravitz,glenn morshower,action adventure sci-fi,After Earth
eric leighton,alfre woodard,d.b. sweeney,della reese,adventure animation family thriller,Dinosaur
matt birch,rupert grint,dave legeno,ralph ineson,action fantasy,Harry Potter and the Deathly Hallows: Part II
shawn levy,robin williams,rami malek,steve coogan,adventure comedy family fantasy,Night at the Museum: Secret of the Tomb
tom mcgrath,j.k. simmons,brad pitt,will ferrell,action animation comedy family sci-fi,Megamind
chris columbus,daniel radcliffe,fiona shaw,verne troyer,adventure family fantasy,Harry Potter and the Sorcerer's Stone
robert schwentke,ryan reynolds,jeff bridges,stephanie szostak,action comedy fantasy,R.I.P.D.
hideaki anno,mark chinnery,shin'ya tsukamoto,atsuko maeda,action adventure drama horror sci-fi,Godzilla Resurgence
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,Pirates of the Caribbean: The Curse of the Black Pearl
matt birch,rupert grint,toby jones,alfred enoch,fantasy,Harry Potter and the Deathly Hallows: Part I
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi thriller,The Hunger Games: Mockingjay - Part 1
ron howard,tom hanks,seth gabel,jürgen prochnow,mystery thriller,The Da Vinci Code
carlos saldanha,miguel ferrer,rachel crow,jeffrey garcia,adventure animation comedy family musical,Rio 2
bryan singer,hugh jackman,bruce davison,aaron stanford,action adventure fantasy sci-fi thriller,X-Men 2
justin lin,paul walker,vin diesel,dwayne johnson,action crime thriller,Fast Five
guy ritchie,robert downey jr.,eddie marsan,paul anderson,action adventure crime mystery thriller,Sherlock Holmes: A Game of Shadows
louis leterrier,liam neeson,jason flemyng,alexa davalos,action adventure fantasy,Clash of the Titans
paul verhoeven,ronny cox,rachel ticotin,marshall bell,action sci-fi,Total Recall
john mctiernan,tony curran,vladimir kulich,clive russell,action adventure history,The 13th Warrior
tony gilroy,jeremy renner,scott glenn,stacy keach,action adventure thriller,The Bourne Legacy
joel schumacher,michael gough,vivica a. fox,john glover,action,Batman & Robin
ron howard,clint howard,t.j. thyne,molly shannon,comedy family fantasy,How the Grinch Stole Christmas
roland emmerich,jake gyllenhaal,dennis quaid,sela ward,action adventure sci-fi thriller,The Day After Tomorrow
john woo,tom cruise,dougray scott,richard roxburgh,action adventure thriller,Mission: Impossible II
wolfgang petersen,karen allen,mary elizabeth mastrantonio,bob gunton,action adventure drama thriller,The Perfect Storm
tim story,chris evans,ioan gruffudd,andre braugher,action adventure sci-fi thriller,Fantastic 4: Rise of the Silver Surfer
ang lee,suraj sharma,rafe spall,tabu,adventure drama fantasy,Life of Pi
mark steven johnson,nicolas cage,matt long,peter fonda,action fantasy thriller,Ghost Rider
paul greengrass,matt damon,riz ahmed,ato essandoh,action thriller,Jason Bourne
mcg,demi moore,bernie mac,justin theroux,action adventure comedy crime,Charlie's Angels: Full Throttle
ridley scott,michael fassbender,charlize theron,sean harris,adventure mystery sci-fi,Prometheus
rob minkoff,nathan lane,brad garrett,melanie griffith,adventure animation comedy family fantasy,Stuart Little 2
neill blomkamp,matt damon,sharlto copley,alice braga,action drama sci-fi thriller,Elysium
david twohy,vin diesel,alexa davalos,christina cox,action adventure sci-fi thriller,The Chronicles of Riddick
josé padilha,gary oldman,abbie cornish,jennifer ehle,action crime sci-fi thriller,RoboCop
lana wachowski,scott porter,kick gurry,nicholas elia,action family sport,Speed Racer
james l. brooks,shelley conn,domenick lombardozzi,teyonah parris,comedy drama romance,How Do You Know
james mangold,tom cruise,marc blucas,jordi mollà,action comedy romance,Knight and Day
joseph kosinski,morgan freeman,tom cruise,zoë bell,action adventure mystery sci-fi,Oblivion
george lucas,natalie portman,christopher lee,hayden christensen,action adventure fantasy sci-fi,Star Wars: Episode III - Revenge of the Sith
george lucas,natalie portman,christopher lee,hayden christensen,action adventure fantasy sci-fi,Star Wars: Episode II - Attack of the Clones
pete docter,steve buscemi,john ratzenberger,james coburn,adventure animation comedy family fantasy,"Monsters, Inc."
james mangold,hugh jackman,tao okamoto,rila fukushima,action adventure sci-fi thriller,The Wolverine
george lucas,natalie portman,liam neeson,ian mcdiarmid,action adventure fantasy sci-fi,Star Wars: Episode I - The Phantom Menace
kirk de micco,ryan reynolds,emma stone,nicolas cage,adventure animation comedy family fantasy,The Croods
frédéric forestier,alain delon,santiago segura,vanessa hessler,adventure comedy family fantasy,Asterix at the Olympic Games
john woo,nicolas cage,roger willie,noah emmerich,action drama war,Windtalkers
cedric nicolas-troyan,chris hemsworth,sam claflin,charlize theron,action adventure drama fantasy,The Huntsman: Winter's War
jonathan liebesman,noel fisher,danny woodburn,jeremy howard,action adventure comedy sci-fi,Teenage Mutant Ninja Turtles
alfonso cuarón,phaldut sharma,basher savage,amy warren,adventure drama sci-fi thriller,Gravity
roger donaldson,jamie renée smith,grant heslov,tzi ma,action adventure thriller,Dante's Peak
dave green,stephen amell,noel fisher,brad garrett,action adventure comedy sci-fi,Teenage Mutant Ninja Turtles: Out of the Shadows
josh trank,tim blake nelson,reg e. cathey,tim heidecker,action adventure sci-fi,Fantastic Four
shawn levy,robin williams,rami malek,steve coogan,action adventure comedy family fantasy,Night at the Museum
brad peyton,dwayne johnson,ioan gruffudd,archie panjabi,action adventure drama thriller,San Andreas
roger spottiswoode,vincent schiavelli,colin salmon,joe don baker,action adventure thriller,Tomorrow Never Dies
roland emmerich,heath ledger,adam baldwin,tom wilkinson,action drama history war,The Patriot
steven soderbergh,brad pitt,julia roberts,mini anden,crime thriller,Ocean's Twelve
doug liman,brad pitt,angelina jolie pitt,stephanie march,action comedy crime romance thriller,Mr. & Mrs. Smith
robert schwentke,kate winslet,theo james,mekhi phifer,adventure sci-fi thriller,Insurgent
martin scorsese,leonardo dicaprio,adam scott,frances conroy,biography drama,The Aviator
rob letterman,james corden,catherine tate,olly alexander,adventure comedy family fantasy,Gulliver's Travels
michel gondry,christoph waltz,tom wilkinson,chad l. coleman,action comedy crime sci-fi thriller,The Green Hornet
unknown,george peppard,dirk benedict,dwight schultz,action adventure crime,The A-Team            
noam murro,eva green,sullivan stapleton,peter mensah,action drama fantasy war,300: Rise of an Empire
raja gosnell,mahadeo shivraj,tim gunn,madison mckinley,adventure animation comedy family fantasy,The Smurfs
will finn,steve buscemi,roseanne barr,g.w. bailey,animation comedy family music western,Home on the Range
robert schwentke,naomi watts,theo james,zoë kravitz,action adventure mystery sci-fi thriller,Allegiant
shawn levy,hugh jackman,torey michael adkins,olga fonda,action drama sci-fi sport,Real Steel
raja gosnell,jacob tremblay,nancy o'dell,vanessa matsui,adventure animation comedy family fantasy,The Smurfs 2
jan de bont,jason patric,temuera morrison,lois chiles,action crime romance thriller,Speed 2: Cruise Control
gavin hood,harrison ford,moises arias,aramis knight,action sci-fi,Ender's Game
len wiseman,bruce willis,jonathan sadowski,cyril raffaelli,action adventure thriller,Live Free or Die Hard
peter jackson,christopher lee,orlando bloom,billy boyd,action adventure drama fantasy,The Lord of the Rings: The Fellowship of the Ring
frank coraci,jim broadbent,steve coogan,cécile de france,action adventure comedy,Around the World in 80 Days
michael mann,will smith,jada pinkett smith,joe morton,biography drama sport,Ali
bo welch,sean hayes,kelly preston,spencer breslin,adventure comedy family fantasy,The Cat in the Hat
alex proyas,will smith,bruce greenwood,chi mcbride,action mystery sci-fi thriller,"I, Robot"
ridley scott,liam neeson,orlando bloom,philip glenister,action adventure drama history war,Kingdom of Heaven
rob minkoff,chazz palminteri,nathan lane,jeffrey jones,adventure comedy family fantasy,Stuart Little
ron clements,oprah winfrey,jenifer lewis,anika noni rose,animation family fantasy musical romance,The Princess and the Frog
ridley scott,matt damon,donald glover,benedict wong,adventure drama sci-fi,The Martian
christopher barnard,mathew buck,unknown,unknown,comedy,"10,000 B.C.            "
michael bay,scarlett johansson,steve buscemi,djimon hounsou,action adventure romance sci-fi thriller,The Island
peter chelsom,del zamora,warren beatty,garry shandling,comedy romance,Town & Country
dominic sena,nicolas cage,angelina jolie pitt,robert duvall,action crime thriller,Gone in Sixty Seconds
ridley scott,djimon hounsou,connie nielsen,oliver reed,action drama romance,Gladiator
steven spielberg,tom cruise,frank grillo,jessica capshaw,action mystery sci-fi thriller,Minority Report
chris columbus,daniel radcliffe,rupert grint,emma watson,adventure family fantasy mystery,Harry Potter and the Chamber of Secrets
martin campbell,eva green,tobias menzies,ivana milicevic,action adventure thriller,Casino Royale
tim burton,cary-hiroyuki tagawa,estella warren,erick avari,action adventure sci-fi thriller,Planet of the Apes
james cameron,joe morton,jenette goldstein,s. epatha merkerson,action sci-fi,Terminator 2: Judgment Day
michael mann,johnny depp,christian bale,stephen graham,biography crime drama history romance,Public Enemies
ridley scott,denzel washington,ruby dee,rza,biography crime drama,American Gangster
james cameron,jamie lee curtis,tia carrere,tom arnold,action comedy thriller,True Lies
tony scott,denzel washington,ramon rodriguez,michael rispoli,action crime thriller,The Taking of Pelham 1 2 3
paul weitz,robert de niro,blythe danner,teri polo,comedy romance,Little Fockers
adam mckay,dwayne johnson,will ferrell,derek jeter,action comedy crime,The Other Guys
chuck russell,vanessa williams,james coburn,roma maffia,action drama mystery thriller,Eraser
