director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination
martin campbell,ryan reynolds,temuera morrison,taika waititi,action adventure sci-fi,Green Lantern,martin campbell ryan reynolds temuera morrisontaika waititiaction adventure sci-fi
lee unkrich,tom hanks,john ratzenberger,don rickles,adventure animation comedy family fantasy,Toy Story 3,lee unkrich tom hanks john ratzenbergerdon ricklesadventure animation comedy family fantasy
mcg,christian bale,bryce dallas howard,common,action adventure sci-fi,Terminator Salvation,mcg christian bale bryce dallas howardcommonaction adventure sci-fi
james wan,jason statham,paul walker,vin diesel,action crime thriller,Furious 7,james wan jason statham paul walkervin dieselaction crime thriller
marc forster,peter capaldi,brad pitt,mireille enos,action adventure horror sci-fi thriller,World War Z,marc forster peter capaldi brad pittmireille enosaction adventure horror sci-fi thriller
bryan singer,jennifer lawrence,peter dinklage,hugh jackman,action adventure fantasy sci-fi thriller,X-Men: Days of Future Past,bryan singer jennifer lawrence peter dinklagehugh jackmanaction adventure fantasy sci-fi thriller
j.j. abrams,benedict cumberbatch,bruce greenwood,noel clarke,action adventure sci-fi,Star Trek Into Darkness,j.j. abrams benedict cumberbatch bruce greenwoodnoel clarkeaction adventure sci-fi
bryan singer,eddie marsan,ewen bremner,ralph brown,adventure fantasy,Jack the Giant Slayer,bryan singer eddie marsan ewen bremnerralph brownadventure fantasy
mike newell,jake gyllenhaal,richard coyle,reece ritchie,action adventure fantasy romance,Prince of Persia: The Sands of Time,mike newell jake gyllenhaal richard coylereece ritchieaction adventure fantasy romance
guillermo del toro,charlie hunnam,clifton collins jr.,larry joe campbell,action adventure sci-fi,Pacific Rim,guillermo del toro charlie hunnam clifton collins jr.larry joe campbellaction adventure sci-fi
michael bay,glenn morshower,lester speight,kevin dunn,action adventure sci-fi,Transformers: Dark of the Moon,michael bay glenn morshower lester speightkevin dunnaction adventure sci-fi
steven spielberg,harrison ford,ray winstone,jim broadbent,action adventure fantasy,Indiana Jones and the Kingdom of the Crystal Skull,steven spielberg harrison ford ray winstonejim broadbentaction adventure fantasy
peter sohn,a.j. buckley,jack mcgraw,peter sohn,adventure animation comedy family fantasy,The Good Dinosaur,peter sohn a.j. buckley jack mcgrawpeter sohnadventure animation comedy family fantasy
mark andrews,kelly macdonald,john ratzenberger,julie walters,adventure animation comedy family fantasy,Brave,mark andrews kelly macdonald john ratzenbergerjulie waltersadventure animation comedy family fantasy
justin lin,sofia boutella,melissa roxburgh,lydia wilson,action adventure sci-fi thriller,Star Trek Beyond,justin lin sofia boutella melissa roxburghlydia wilsonaction adventure sci-fi thriller
andrew stanton,john ratzenberger,fred willard,jeff garlin,adventure animation family sci-fi,WALL·E,andrew stanton john ratzenberger fred willardjeff garlinadventure animation family sci-fi
brett ratner,tzi ma,dana ivey,noémie lenoir,action comedy crime thriller,Rush Hour 3,brett ratner tzi ma dana iveynoémie lenoiraction comedy crime thriller
roland emmerich,oliver platt,liam james,tom mccarthy,action adventure sci-fi,2012,roland emmerich oliver platt liam jamestom mccarthyaction adventure sci-fi
robert zemeckis,robin wright,colin firth,gary oldman,animation drama family fantasy,A Christmas Carol,robert zemeckis robin wright colin firthgary oldmananimation drama family fantasy
lana wachowski,channing tatum,mila kunis,eddie redmayne,action adventure sci-fi,Jupiter Ascending,lana wachowski channing tatum mila kuniseddie redmayneaction adventure sci-fi
andrew adamson,jim broadbent,kiran shah,shane rangi,adventure family fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",andrew adamson jim broadbent kiran shahshane rangiadventure family fantasy
bryan singer,jennifer lawrence,michael fassbender,tye sheridan,action adventure sci-fi,X-Men: Apocalypse,bryan singer jennifer lawrence michael fassbendertye sheridanaction adventure sci-fi
christopher nolan,christian bale,heath ledger,morgan freeman,action crime drama thriller,The Dark Knight,christopher nolan christian bale heath ledgermorgan freemanaction crime drama thriller
pete docter,john ratzenberger,delroy lindo,jess harnell,adventure animation comedy family,Up,pete docter john ratzenberger delroy lindojess harnelladventure animation comedy family
rob letterman,amy poehler,rainn wilson,stephen colbert,action adventure animation comedy family sci-fi,Monsters vs. Aliens,rob letterman amy poehler rainn wilsonstephen colbertaction adventure animation comedy family sci-fi
jon favreau,robert downey jr.,jeff bridges,jon favreau,action adventure sci-fi,Iron Man,jon favreau robert downey jr. jeff bridgesjon favreauaction adventure sci-fi
martin scorsese,chloë grace moretz,christopher lee,ray winstone,adventure drama family mystery,Hugo,martin scorsese chloë grace moretz christopher leeray winstoneadventure drama family mystery
barry sonnenfeld,will smith,salma hayek,bai ling,action comedy sci-fi western,Wild Wild West,barry sonnenfeld will smith salma hayekbai lingaction comedy sci-fi western
rob cohen,jet li,brendan fraser,russell wong,action adventure fantasy horror thriller,The Mummy: Tomb of the Dragon Emperor,rob cohen jet li brendan fraserrussell wongaction adventure fantasy horror thriller
david ayer,will smith,robin atkin downes,ike barinholtz,action adventure comedy sci-fi,Suicide Squad,david ayer will smith robin atkin downesike barinholtzaction adventure comedy sci-fi
tom shadyac,jimmy bennett,morgan freeman,steve carell,comedy family fantasy,Evan Almighty,tom shadyac jimmy bennett morgan freemansteve carellcomedy family fantasy
doug liman,tom cruise,lara pulver,noah taylor,action adventure sci-fi,Edge of Tomorrow,doug liman tom cruise lara pulvernoah tayloraction adventure sci-fi
kevin reynolds,jeanne tripplehorn,rick aviles,zakes mokae,action adventure sci-fi thriller,Waterworld,kevin reynolds jeanne tripplehorn rick avileszakes mokaeaction adventure sci-fi thriller
stephen sommers,joseph gordon-levitt,dennis quaid,leo howard,action adventure sci-fi thriller,G.I. Joe: The Rise of Cobra,stephen sommers joseph gordon-levitt dennis quaidleo howardaction adventure sci-fi thriller
pete docter,amy poehler,mindy kaling,phyllis smith,adventure animation comedy drama family fantasy,Inside Out,pete docter amy poehler mindy kalingphyllis smithadventure animation comedy drama family fantasy
jon favreau,robert downey jr.,scarlett johansson,jon favreau,action adventure sci-fi,Iron Man 2,jon favreau robert downey jr. scarlett johanssonjon favreauaction adventure sci-fi
rupert sanders,chris hemsworth,kristen stewart,sam claflin,action adventure drama fantasy,Snow White and the Huntsman,rupert sanders chris hemsworth kristen stewartsam claflinaction adventure drama fantasy
robert stromberg,angelina jolie pitt,sharlto copley,sam riley,action adventure family fantasy romance,Maleficent,robert stromberg angelina jolie pitt sharlto copleysam rileyaction adventure family fantasy romance
matt reeves,gary oldman,judy greer,kodi smit-mcphee,action adventure drama sci-fi,Dawn of the Planet of the Apes,matt reeves gary oldman judy greerkodi smit-mcpheeaction adventure drama sci-fi
carl rinsch,keanu reeves,cary-hiroyuki tagawa,jin akanishi,action adventure drama fantasy,47 Ronin,carl rinsch keanu reeves cary-hiroyuki tagawajin akanishiaction adventure drama fantasy
anthony russo,scarlett johansson,chris evans,hayley atwell,action adventure sci-fi,Captain America: The Winter Soldier,anthony russo scarlett johansson chris evanshayley atwellaction adventure sci-fi
mike mitchell,jon hamm,kathy griffin,mary kay place,adventure animation comedy family fantasy,Shrek Forever After,mike mitchell jon hamm kathy griffinmary kay placeadventure animation comedy family fantasy
brad bird,judy greer,chris bauer,thomas robinson,action adventure family mystery sci-fi,Tomorrowland,brad bird judy greer chris bauerthomas robinsonaction adventure family mystery sci-fi
don hall,damon wayans jr.,daniel henney,abraham benrubi,action adventure animation comedy drama family sci-fi,Big Hero 6,don hall damon wayans jr. daniel henneyabraham benrubiaction adventure animation comedy drama family sci-fi
rich moore,jack mcbrayer,sarah silverman,joe lo truglio,adventure animation comedy family sci-fi,Wreck-It Ralph,rich moore jack mcbrayer sarah silvermanjoe lo truglioadventure animation comedy family sci-fi
robert zemeckis,tom hanks,eddie deezen,peter scolari,adventure animation family fantasy,The Polar Express,robert zemeckis tom hanks eddie deezenpeter scolariadventure animation family fantasy
roland emmerich,vivica a. fox,sela ward,judd hirsch,action adventure sci-fi,Independence Day: Resurgence,roland emmerich vivica a. fox sela wardjudd hirschaction adventure sci-fi
dean deblois,gerard butler,america ferrera,craig ferguson,adventure animation family fantasy,How to Train Your Dragon,dean deblois gerard butler america ferreracraig fergusonadventure animation family fantasy
jonathan mostow,nick stahl,m.c. gainey,carolyn hennesy,action sci-fi,Terminator 3: Rise of the Machines,jonathan mostow nick stahl m.c. gaineycarolyn hennesyaction sci-fi
james gunn,bradley cooper,vin diesel,djimon hounsou,action adventure sci-fi,Guardians of the Galaxy,james gunn bradley cooper vin dieseldjimon hounsouaction adventure sci-fi
christopher nolan,matthew mcconaughey,anne hathaway,mackenzie foy,adventure drama sci-fi,Interstellar,christopher nolan matthew mcconaughey anne hathawaymackenzie foyadventure drama sci-fi
christopher nolan,leonardo dicaprio,tom hardy,joseph gordon-levitt,action adventure sci-fi thriller,Inception,christopher nolan leonardo dicaprio tom hardyjoseph gordon-levittaction adventure sci-fi thriller
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,The Hobbit: An Unexpected Journey,peter jackson aidan turner adam brownjames nesbittadventure fantasy
david fincher,brad pitt,jason flemyng,julia ormond,drama fantasy romance,The Curious Case of Benjamin Button,david fincher brad pitt jason flemyngjulia ormonddrama fantasy romance
matthew vaughn,jennifer lawrence,michael fassbender,oliver platt,action adventure sci-fi,X-Men: First Class,matthew vaughn jennifer lawrence michael fassbenderoliver plattaction adventure sci-fi
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi,The Hunger Games: Mockingjay - Part 2,francis lawrence jennifer lawrence philip seymour hoffmanjosh hutchersonadventure sci-fi
jon turteltaub,nicolas cage,omar benson miller,robert capron,action adventure family fantasy,The Sorcerer's Apprentice,jon turteltaub nicolas cage omar benson millerrobert capronaction adventure family fantasy
wolfgang petersen,jimmy bennett,mike vogel,andre braugher,action adventure drama thriller,Poseidon,wolfgang petersen jimmy bennett mike vogelandre braugheraction adventure drama thriller
james bobin,johnny depp,alan rickman,anne hathaway,adventure family fantasy,Alice Through the Looking Glass,james bobin johnny depp alan rickmananne hathawayadventure family fantasy
chris miller,justin timberlake,eric idle,rupert everett,adventure animation comedy family fantasy,Shrek the Third,chris miller justin timberlake eric idlerupert everettadventure animation comedy family fantasy
duncan jones,dominic cooper,callum rennie,ruth negga,action adventure fantasy,Warcraft,duncan jones dominic cooper callum rennieruth neggaaction adventure fantasy
alan taylor,j.k. simmons,emilia clarke,matt smith,action adventure sci-fi,Terminator Genisys,alan taylor j.k. simmons emilia clarkematt smithaction adventure sci-fi
michael apted,bruce spence,shane rangi,laura brent,adventure family fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader,michael apted bruce spence shane rangilaura brentadventure family fantasy
michael bay,jennifer garner,jaime king,mako,action drama history romance war,Pearl Harbor,michael bay jennifer garner jaime kingmakoaction drama history romance war
michael bay,zack ward,michael o'neill,kevin dunn,action adventure sci-fi,Transformers,michael bay zack ward michael o'neillkevin dunnaction adventure sci-fi
oliver stone,anthony hopkins,angelina jolie pitt,brian blessed,action adventure biography drama history romance war,Alexander,oliver stone anthony hopkins angelina jolie pittbrian blessedaction adventure biography drama history romance war
david yates,robert pattinson,daniel radcliffe,fiona shaw,adventure family fantasy mystery,Harry Potter and the Order of the Phoenix,david yates robert pattinson daniel radcliffefiona shawadventure family fantasy mystery
mike newell,robert pattinson,daniel radcliffe,rupert grint,adventure family fantasy mystery,Harry Potter and the Goblet of Fire,mike newell robert pattinson daniel radclifferupert grintadventure family fantasy mystery
peter berg,will smith,charlize theron,eddie marsan,action drama,Hancock,peter berg will smith charlize theroneddie marsanaction drama
francis lawrence,will smith,alice braga,willow smith,drama horror sci-fi,I Am Legend,francis lawrence will smith alice bragawillow smithdrama horror sci-fi
tim burton,johnny depp,christopher lee,david kelly,adventure comedy family fantasy,Charlie and the Chocolate Factory,tim burton johnny depp christopher leedavid kellyadventure comedy family fantasy
brad bird,janeane garofalo,john ratzenberger,brian dennehy,animation comedy family fantasy,Ratatouille,brad bird janeane garofalo john ratzenbergerbrian dennehyanimation comedy family fantasy
christopher nolan,christian bale,liam neeson,morgan freeman,action adventure,Batman Begins,christopher nolan christian bale liam neesonmorgan freemanaction adventure
eric darnell,bernie mac,jada pinkett smith,cedric the entertainer,action adventure animation comedy family,Madagascar: Escape 2 Africa,eric darnell bernie mac jada pinkett smithcedric the entertaineraction adventure animation comedy family
shawn levy,robin williams,rami malek,steve coogan,adventure comedy family fantasy,Night at the Museum: Battle of the Smithsonian,shawn levy robin williams rami maleksteve cooganadventure comedy family fantasy
gavin hood,hugh jackman,ryan reynolds,dominic monaghan,action adventure fantasy sci-fi thriller,X-Men Origins: Wolverine,gavin hood hugh jackman ryan reynoldsdominic monaghanaction adventure fantasy sci-fi thriller
lana wachowski,essie davis,collin chou,nona gaye,action sci-fi,The Matrix Revolutions,lana wachowski essie davis collin chounona gayeaction sci-fi
chris buck,josh gad,maurice lamarche,livvy stubenrauch,adventure animation comedy family fantasy musical,Frozen,chris buck josh gad maurice lamarchelivvy stubenrauchadventure animation comedy family fantasy musical
lana wachowski,steve bastoni,daniel bernhardt,helmut bakaitis,action sci-fi,The Matrix Reloaded,lana wachowski steve bastoni daniel bernhardthelmut bakaitisaction sci-fi
alan taylor,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,Thor: The Dark World,alan taylor chris hemsworth natalie portmananthony hopkinsaction adventure fantasy
george miller,tom hardy,charlize theron,zoë kravitz,action adventure sci-fi thriller,Mad Max: Fury Road,george miller tom hardy charlize theronzoë kravitzaction adventure sci-fi thriller
ron howard,tom hanks,ayelet zurer,armin mueller-stahl,mystery thriller,Angels & Demons,ron howard tom hanks ayelet zurerarmin mueller-stahlmystery thriller
kenneth branagh,chris hemsworth,natalie portman,anthony hopkins,action adventure fantasy,Thor,kenneth branagh chris hemsworth natalie portmananthony hopkinsaction adventure fantasy
byron howard,chloë grace moretz,diedrich bader,james lipton,adventure animation comedy drama family,Bolt,byron howard chloë grace moretz diedrich baderjames liptonadventure animation comedy drama family
hoyt yeatman,kelli garner,piper mackenzie harris,niecy nash,action adventure animation comedy family fantasy sci-fi,G-Force,hoyt yeatman kelli garner piper mackenzie harrisniecy nashaction adventure animation comedy family fantasy sci-fi
jonathan liebesman,liam neeson,edgar ramírez,lily james,action adventure fantasy,Wrath of the Titans,jonathan liebesman liam neeson edgar ramírezlily jamesaction adventure fantasy
tim burton,johnny depp,chloë grace moretz,christopher lee,comedy fantasy horror,Dark Shadows,tim burton johnny depp chloë grace moretzchristopher leecomedy fantasy horror
christopher mcquarrie,tom cruise,jeremy renner,sean harris,action adventure thriller,Mission: Impossible - Rogue Nation,christopher mcquarrie tom cruise jeremy rennersean harrisaction adventure thriller
joe johnston,anthony hopkins,simon merrells,art malik,drama fantasy horror thriller,The Wolfman,joe johnston anthony hopkins simon merrellsart malikdrama fantasy horror thriller
david yates,christoph waltz,alexander skarsgård,casper crump,action adventure drama romance,The Legend of Tarzan,david yates christoph waltz alexander skarsgårdcasper crumpaction adventure drama romance
steve hickner,matthew broderick,oprah winfrey,rip torn,adventure animation comedy family,Bee Movie,steve hickner matthew broderick oprah winfreyrip tornadventure animation comedy family
jennifer yuh nelson,angelina jolie pitt,gary oldman,mike bell,action adventure animation comedy family,Kung Fu Panda 2,jennifer yuh nelson angelina jolie pitt gary oldmanmike bellaction adventure animation comedy family
m. night shyamalan,seychelle gabriel,noah ringer,aasif mandvi,action adventure family fantasy,The Last Airbender,m. night shyamalan seychelle gabriel noah ringeraasif mandviaction adventure family fantasy
j.j. abrams,philip seymour hoffman,tom cruise,eddie marsan,action adventure thriller,Mission: Impossible III,j.j. abrams philip seymour hoffman tom cruiseeddie marsanaction adventure thriller
roland emmerich,channing tatum,jake weber,matt craven,action drama thriller,White House Down,roland emmerich channing tatum jake webermatt cravenaction drama thriller
simon wells,elisabeth harnois,dan fogler,tom everett scott,action adventure animation comedy family sci-fi,Mars Needs Moms,simon wells elisabeth harnois dan foglertom everett scottaction adventure animation comedy family sci-fi
david bowers,hugh jackman,kate winslet,david suchet,adventure animation comedy family,Flushed Away,david bowers hugh jackman kate winsletdavid suchetadventure animation comedy family
rob minkoff,ty burrell,zach callison,karan brar,adventure animation comedy family sci-fi,Mr. Peabody & Sherman,rob minkoff ty burrell zach callisonkaran braradventure animation comedy family sci-fi
wolfgang petersen,brad pitt,orlando bloom,julian glover,adventure,Troy,wolfgang petersen brad pitt orlando bloomjulian gloveradventure
eric darnell,jada pinkett smith,martin short,cedric the entertainer,adventure animation comedy family,Madagascar 3: Europe's Most Wanted,eric darnell jada pinkett smith martin shortcedric the entertaineradventure animation comedy family
lee tamahori,toby stephens,colin salmon,rick yune,action adventure thriller,Die Another Day,lee tamahori toby stephens colin salmonrick yuneaction adventure thriller
michael bay,bruce willis,steve buscemi,will patton,action adventure sci-fi thriller,Armageddon,michael bay bruce willis steve buscemiwill pattonaction adventure sci-fi thriller
barry sonnenfeld,will smith,rosario dawson,rip torn,action adventure comedy family fantasy mystery sci-fi,Men in Black II,barry sonnenfeld will smith rosario dawsonrip tornaction adventure comedy family fantasy mystery sci-fi
robert zemeckis,robin wright,anthony hopkins,sebastian roché,action adventure animation fantasy,Beowulf,robert zemeckis robin wright anthony hopkinssebastian rochéaction adventure animation fantasy
alessandro carloni,j.k. simmons,angelina jolie pitt,wayne knight,action adventure animation comedy family,Kung Fu Panda 3,alessandro carloni j.k. simmons angelina jolie pittwayne knightaction adventure animation comedy family
brad bird,tom cruise,jeremy renner,michael nyqvist,action adventure thriller,Mission: Impossible - Ghost Protocol,brad bird tom cruise jeremy rennermichael nyqvistaction adventure thriller
peter ramsey,hugh jackman,kamil mcfadden,khamani griffin,adventure animation family fantasy,Rise of the Guardians,peter ramsey hugh jackman kamil mcfaddenkhamani griffinadventure animation family fantasy
dean parisot,john michael higgins,richard burgi,david herman,comedy crime,Fun with Dick and Jane,dean parisot john michael higgins richard burgidavid hermancomedy crime
edward zwick,tom cruise,tony goldwyn,chad lindberg,action drama history war,The Last Samurai,edward zwick tom cruise tony goldwynchad lindbergaction drama history war
j.j. abrams,chris hemsworth,leonard nimoy,bruce greenwood,action adventure sci-fi,Star Trek,j.j. abrams chris hemsworth leonard nimoybruce greenwoodaction adventure sci-fi
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,Spider-Man,sam raimi j.k. simmons james francokirsten dunstaction adventure fantasy romance
dean deblois,gerard butler,djimon hounsou,america ferrera,action adventure animation comedy family fantasy,How to Train Your Dragon 2,dean deblois gerard butler djimon hounsouamerica ferreraaction adventure animation comedy family fantasy
alex proyas,gerard butler,elodie yung,bryan brown,action adventure fantasy,Gods of Egypt,alex proyas gerard butler elodie yungbryan brownaction adventure fantasy
rob cohen,sam shepard,joe morton,richard roxburgh,action adventure sci-fi thriller,Stealth,rob cohen sam shepard joe mortonrichard roxburghaction adventure sci-fi thriller
zack snyder,matt frewer,billy crudup,stephen mchattie,action drama mystery sci-fi,Watchmen,zack snyder matt frewer billy crudupstephen mchattieaction drama mystery sci-fi
richard donner,jet li,rene russo,darlene love,action crime thriller,Lethal Weapon 4,richard donner jet li rene russodarlene loveaction crime thriller
ang lee,kevin rankin,regi davis,celia weston,action sci-fi,Hulk,ang lee kevin rankin regi daviscelia westonaction sci-fi
jon m. chu,channing tatum,dwayne johnson,elodie yung,action adventure sci-fi thriller,G.I. Joe: Retaliation,jon m. chu channing tatum dwayne johnsonelodie yungaction adventure sci-fi thriller
breck eisner,matthew mcconaughey,rainn wilson,delroy lindo,action adventure comedy thriller,Sahara,breck eisner matthew mcconaughey rainn wilsondelroy lindoaction adventure comedy thriller
hironobu sakaguchi,steve buscemi,ming-na wen,jean simmons,action adventure animation fantasy romance sci-fi,Final Fantasy: The Spirits Within,hironobu sakaguchi steve buscemi ming-na wenjean simmonsaction adventure animation fantasy romance sci-fi
joe johnston,chris evans,dominic cooper,hayley atwell,action adventure sci-fi,Captain America: The First Avenger,joe johnston chris evans dominic cooperhayley atwellaction adventure sci-fi
michael apted,colin salmon,maria grazia cucinotta,desmond llewelyn,action adventure thriller,The World Is Not Enough,michael apted colin salmon maria grazia cucinottadesmond llewelynaction adventure thriller
peter weir,james d'arcy,lee ingleby,david threlfall,action adventure drama history war,Master and Commander: The Far Side of the World,peter weir james d'arcy lee inglebydavid threlfallaction adventure drama history war
george miller,robin williams,brad pitt,common,animation comedy family musical,Happy Feet 2,george miller robin williams brad pittcommonanimation comedy family musical
louis leterrier,ty burrell,peter mensah,william hurt,action adventure sci-fi,The Incredible Hulk,louis leterrier ty burrell peter mensahwilliam hurtaction adventure sci-fi
unknown,don johnson,philip michael thomas,john diehl,action crime drama mystery thriller,Miami Vice            ,unknown don johnson philip michael thomasjohn diehlaction crime drama mystery thriller
steven spielberg,mark rylance,penelope wilton,rafe spall,adventure family fantasy,The BFG,steven spielberg mark rylance penelope wiltonrafe spalladventure family fantasy
alejandro g. iñárritu,leonardo dicaprio,tom hardy,lukas haas,adventure drama thriller western,The Revenant,alejandro g. iñárritu leonardo dicaprio tom hardylukas haasadventure drama thriller western
david soren,ryan reynolds,snoop dogg,ben schwartz,adventure animation comedy family sport,Turbo,david soren ryan reynolds snoop doggben schwartzadventure animation comedy family sport
gore verbinski,johnny depp,ray winstone,stephen root,adventure animation comedy family western,Rango,gore verbinski johnny depp ray winstonestephen rootadventure animation comedy family western
eric darnell,benedict cumberbatch,annet mahendru,andy richter,adventure animation comedy family,Penguins of Madagascar,eric darnell benedict cumberbatch annet mahendruandy richteradventure animation comedy family
paul greengrass,matt damon,edgar ramírez,albert finney,action mystery thriller,The Bourne Ultimatum,paul greengrass matt damon edgar ramírezalbert finneyaction mystery thriller
mark osborne,angelina jolie pitt,wayne knight,dan fogler,action adventure animation comedy family,Kung Fu Panda,mark osborne angelina jolie pitt wayne knightdan fogleraction adventure animation comedy family
peyton reed,judy greer,hayley atwell,t.i.,action adventure comedy sci-fi,Ant-Man,peyton reed judy greer hayley atwellt.i.action adventure comedy sci-fi
