type,title,cast,country,rating,listed_in,cast_list,combination
Movie,minsara kanavu,arvind swamy  kajol  prabhu deva,unknown,TV-PG,"comedies, international movies, music & musicals",Arvind Swamy  Kajol  Prabhu Deva,"Movie TV-PG comedies, international movies, music & musicals unknown arvind swamy  kajol  prabhu deva"
Movie,grown ups,adam sandler  kevin james  chris rock,united states,PG-13,comedies,Adam Sandler  Kevin James  Chris Rock,Movie PG-13 comedies united states adam sandler  kevin james  chris rock
Movie,dark skies,keri russell  josh hamilton  j.k. simmons,united states,PG-13,"horror movies, sci-fi & fantasy",Keri Russell  Josh Hamilton  J.K. Simmons,"Movie PG-13 horror movies, sci-fi & fantasy united states keri russell  josh hamilton  j.k. simmons"
Movie,paranoia,liam hemsworth  gary oldman  amber heard,"united states, india, france",PG-13,thrillers,Liam Hemsworth  Gary Oldman  Amber Heard,"Movie PG-13 thrillers united states, india, france liam hemsworth  gary oldman  amber heard"
Movie,ankahi kahaniya,abhishek banerjee  rinku rajguru  delzad hiwale,unknown,TV-14,"dramas, independent movies, international movies",Abhishek Banerjee  Rinku Rajguru  Delzad Hiwale,"Movie TV-14 dramas, independent movies, international movies unknown abhishek banerjee  rinku rajguru  delzad hiwale"
Movie,the father who moves mountains,adrian titieni  elena purea  judith state,unknown,TV-MA,"dramas, international movies, thrillers",Adrian Titieni  Elena Purea  Judith State,"Movie TV-MA dramas, international movies, thrillers unknown adrian titieni  elena purea  judith state"
Movie,the stronghold,gilles lellouche  karim leklou  françois civil,unknown,TV-MA,"action & adventure, dramas, international movies",Gilles Lellouche  Karim Leklou  François Civil,"Movie TV-MA action & adventure, dramas, international movies unknown gilles lellouche  karim leklou  françois civil"
Movie,birth of the dragon,billy magnussen  ron yuan  qu jingjing,"china, canada, united states",PG-13,"action & adventure, dramas",Billy Magnussen  Ron Yuan  Qu Jingjing,"Movie PG-13 action & adventure, dramas china, canada, united states billy magnussen  ron yuan  qu jingjing"
Movie,jaws,roy scheider  robert shaw  richard dreyfuss,united states,PG,"action & adventure, classic movies, dramas",Roy Scheider  Robert Shaw  Richard Dreyfuss,"Movie PG action & adventure, classic movies, dramas united states roy scheider  robert shaw  richard dreyfuss"
Movie,jaws 2,roy scheider  lorraine gary  murray hamilton,united states,PG,"dramas, horror movies, thrillers",Roy Scheider  Lorraine Gary  Murray Hamilton,"Movie PG dramas, horror movies, thrillers united states roy scheider  lorraine gary  murray hamilton"
Movie,jaws 3,dennis quaid  bess armstrong  simon maccorkindale,united states,PG,"action & adventure, horror movies, thrillers",Dennis Quaid  Bess Armstrong  Simon MacCorkindale,"Movie PG action & adventure, horror movies, thrillers united states dennis quaid  bess armstrong  simon maccorkindale"
Movie,jaws: the revenge,lorraine gary  lance guest  mario van peebles,united states,PG-13,"action & adventure, horror movies, thrillers",Lorraine Gary  Lance Guest  Mario Van Peebles,"Movie PG-13 action & adventure, horror movies, thrillers united states lorraine gary  lance guest  mario van peebles"
Movie,my heroes were cowboys,unknown,unknown,PG,documentaries,unknown,Movie PG documentaries unknown unknown
Movie,safe house,denzel washington  ryan reynolds  vera farmiga,"south africa, united states, japan",R,action & adventure,Denzel Washington  Ryan Reynolds  Vera Farmiga,"Movie R action & adventure south africa, united states, japan denzel washington  ryan reynolds  vera farmiga"
Movie,training day,denzel washington  ethan hawke  scott glenn,united states,R,"dramas, thrillers",Denzel Washington  Ethan Hawke  Scott Glenn,"Movie R dramas, thrillers united states denzel washington  ethan hawke  scott glenn"
Movie,inuyasha the movie 2: the castle beyond the looking glass,kappei yamaguchi  satsuki yukino  mieko harada,japan,TV-14,"action & adventure, anime features, international movies",Kappei Yamaguchi  Satsuki Yukino  Mieko Harada,"Movie TV-14 action & adventure, anime features, international movies japan kappei yamaguchi  satsuki yukino  mieko harada"
Movie,inuyasha the movie 3: swords of an honorable ruler,kappei yamaguchi  satsuki yukino  koji tsujitani,japan,TV-14,"action & adventure, anime features, international movies",Kappei Yamaguchi  Satsuki Yukino  Koji Tsujitani,"Movie TV-14 action & adventure, anime features, international movies japan kappei yamaguchi  satsuki yukino  koji tsujitani"
Movie,inuyasha the movie 4: fire on the mystic island,kappei yamaguchi  satsuki yukino  koji tsujitani,japan,TV-PG,"action & adventure, anime features, international movies",Kappei Yamaguchi  Satsuki Yukino  Koji Tsujitani,"Movie TV-PG action & adventure, anime features, international movies japan kappei yamaguchi  satsuki yukino  koji tsujitani"
Movie,inuyasha the movie: affections touching across time,kappei yamaguchi  satsuki yukino  koji tsujitani,japan,TV-PG,"action & adventure, anime features, international movies",Kappei Yamaguchi  Satsuki Yukino  Koji Tsujitani,"Movie TV-PG action & adventure, anime features, international movies japan kappei yamaguchi  satsuki yukino  koji tsujitani"
Movie,naruto shippuden the movie: blood prison,junko takeuchi  chie nakamura  rikiya koyama,japan,TV-14,"action & adventure, anime features, international movies",Junko Takeuchi  Chie Nakamura  Rikiya Koyama,"Movie TV-14 action & adventure, anime features, international movies japan junko takeuchi  chie nakamura  rikiya koyama"
Movie,naruto shippûden the movie: bonds,junko takeuchi  chie nakamura  noriaki sugiyama,japan,TV-PG,"action & adventure, anime features, international movies",Junko Takeuchi  Chie Nakamura  Noriaki Sugiyama,"Movie TV-PG action & adventure, anime features, international movies japan junko takeuchi  chie nakamura  noriaki sugiyama"
Movie,naruto shippûden the movie: the will of fire,junko takeuchi  chie nakamura  kazuhiko inoue,japan,TV-PG,"action & adventure, anime features, international movies",Junko Takeuchi  Chie Nakamura  Kazuhiko Inoue,"Movie TV-PG action & adventure, anime features, international movies japan junko takeuchi  chie nakamura  kazuhiko inoue"
Movie,naruto shippuden: the movie,junko takeuchi  chie nakamura  yoichi masukawa,japan,TV-PG,"action & adventure, anime features, international movies",Junko Takeuchi  Chie Nakamura  Yoichi Masukawa,"Movie TV-PG action & adventure, anime features, international movies japan junko takeuchi  chie nakamura  yoichi masukawa"
Movie,naruto shippuden: the movie: the lost tower,junko takeuchi  chie nakamura  satoshi hino,japan,TV-14,"action & adventure, anime features, international movies",Junko Takeuchi  Chie Nakamura  Satoshi Hino,"Movie TV-14 action & adventure, anime features, international movies japan junko takeuchi  chie nakamura  satoshi hino"
Movie,naruto the movie 2: legend of the stone of gelel,junko takeuchi  gamon kaai  chie nakamura,japan,TV-PG,"action & adventure, anime features, international movies",Junko Takeuchi  Gamon Kaai  Chie Nakamura,"Movie TV-PG action & adventure, anime features, international movies japan junko takeuchi  gamon kaai  chie nakamura"
Movie,naruto the movie 3: guardians of the crescent moon kingdom,junko takeuchi  chie nakamura  yoichi masukawa,japan,TV-PG,"action & adventure, anime features, international movies",Junko Takeuchi  Chie Nakamura  Yoichi Masukawa,"Movie TV-PG action & adventure, anime features, international movies japan junko takeuchi  chie nakamura  yoichi masukawa"
Movie,naruto the movie: ninja clash in the land of snow,junko takeuchi  noriaki sugiyama  chie nakamura,japan,TV-PG,"action & adventure, anime features, international movies",Junko Takeuchi  Noriaki Sugiyama  Chie Nakamura,"Movie TV-PG action & adventure, anime features, international movies japan junko takeuchi  noriaki sugiyama  chie nakamura"
Movie,nightbooks,winslow fegley  lidya jewett  krysten ritter,unknown,TV-PG,children & family movies,Winslow Fegley  Lidya Jewett  Krysten Ritter,Movie TV-PG children & family movies unknown winslow fegley  lidya jewett  krysten ritter
Movie,schumacher,michael schumacher,unknown,TV-14,"documentaries, international movies, sports movies",Michael Schumacher,"Movie TV-14 documentaries, international movies, sports movies unknown michael schumacher"
Movie,a storybots space adventure,evan spiridellis  erin fitzgerald  jeff gill,unknown,TV-Y,children & family movies,Evan Spiridellis  Erin Fitzgerald  Jeff Gill,Movie TV-Y children & family movies unknown evan spiridellis  erin fitzgerald  jeff gill
Movie,king of boys,"sola sobowale  adesua etomi  remilekun ""reminisce"" safaru",nigeria,TV-MA,"dramas, international movies","Sola Sobowale  Adesua Etomi  Remilekun ""Reminisce"" Safaru","Movie TV-MA dramas, international movies nigeria sola sobowale  adesua etomi  remilekun ""reminisce"" safaru"
Movie,you vs. wild: out cold,bear grylls  jason derek prempeh,unknown,TV-G,children & family movies,Bear Grylls  Jason Derek Prempeh,Movie TV-G children & family movies unknown bear grylls  jason derek prempeh
Movie,little singham - black shadow,sumriddhi shukla  jigna bharadwaj  sonal kaushal,unknown,TV-Y7,"children & family movies, comedies",Sumriddhi Shukla  Jigna Bharadwaj  Sonal Kaushal,"Movie TV-Y7 children & family movies, comedies unknown sumriddhi shukla  jigna bharadwaj  sonal kaushal"
Movie,tughlaq durbar,vijay sethupathi  parthiban  raashi khanna,unknown,TV-14,"comedies, dramas, international movies",Vijay Sethupathi  Parthiban  Raashi Khanna,"Movie TV-14 comedies, dramas, international movies unknown vijay sethupathi  parthiban  raashi khanna"
Movie,tughlaq durbar (telugu),vijay sethupathi  parthiban  raashi khanna,unknown,TV-14,"comedies, dramas, international movies",Vijay Sethupathi  Parthiban  Raashi Khanna,"Movie TV-14 comedies, dramas, international movies unknown vijay sethupathi  parthiban  raashi khanna"
Movie,firedrake the silver dragon,thomas brodie-sangster  felicity jones  freddie highmore,unknown,TV-Y7,children & family movies,Thomas Brodie-Sangster  Felicity Jones  Freddie Highmore,Movie TV-Y7 children & family movies unknown thomas brodie-sangster  felicity jones  freddie highmore
Movie,kate,mary elizabeth winstead  jun kunimura  woody harrelson,united states,R,action & adventure,Mary Elizabeth Winstead  Jun Kunimura  Woody Harrelson,Movie R action & adventure united states mary elizabeth winstead  jun kunimura  woody harrelson
Movie,omo ghetto: the saga,funke akindele  ayo makun  chioma chukwuka akpotha,nigeria,TV-MA,"action & adventure, comedies, dramas",Funke Akindele  Ayo Makun  Chioma Chukwuka Akpotha,"Movie TV-MA action & adventure, comedies, dramas nigeria funke akindele  ayo makun  chioma chukwuka akpotha"
Movie,prey,david kross  hanno koffler  maria ehrich,unknown,TV-MA,"international movies, thrillers",David Kross  Hanno Koffler  Maria Ehrich,"Movie TV-MA international movies, thrillers unknown david kross  hanno koffler  maria ehrich"
Movie,blood brothers: malcolm x & muhammad ali,malcolm x  muhammad ali,unknown,PG-13,"documentaries, sports movies",Malcolm X  Muhammad Ali,"Movie PG-13 documentaries, sports movies unknown malcolm x  muhammad ali"
Movie,paradise hills,emma roberts  danielle macdonald  awkwafina,"spain, united states",TV-MA,"sci-fi & fantasy, thrillers",Emma Roberts  Danielle Macdonald  Awkwafina,"Movie TV-MA sci-fi & fantasy, thrillers spain, united states emma roberts  danielle macdonald  awkwafina"
Movie,the women and the murderer,unknown,france,TV-14,"documentaries, international movies",unknown,"Movie TV-14 documentaries, international movies france unknown"
Movie,jj+e,elsa öhrn  mustapha aarab  jonay pineda skallak,unknown,TV-MA,"dramas, international movies, romantic movies",Elsa Öhrn  Mustapha Aarab  Jonay Pineda Skallak,"Movie TV-MA dramas, international movies, romantic movies unknown elsa öhrn  mustapha aarab  jonay pineda skallak"
Movie,show dogs,will arnett  ludacris  natasha lyonne,"united kingdom, united states",PG,"children & family movies, comedies",Will Arnett  Ludacris  Natasha Lyonne,"Movie PG children & family movies, comedies united kingdom, united states will arnett  ludacris  natasha lyonne"
Movie,if i leave here tomorrow: a film about lynyrd skynyrd,ronnie van zandt  gary rossington  allen collins,united states,TV-MA,"documentaries, music & musicals",Ronnie Van Zandt  Gary Rossington  Allen Collins,"Movie TV-MA documentaries, music & musicals united states ronnie van zandt  gary rossington  allen collins"
Movie,untold: breaking point,unknown,united states,TV-MA,"documentaries, sports movies",unknown,"Movie TV-MA documentaries, sports movies united states unknown"
Movie,shadow parties,jide kosoko  omotola jalade-ekeinde  yemi blaq,unknown,TV-MA,"dramas, international movies, thrillers",Jide Kosoko  Omotola Jalade-Ekeinde  Yemi Blaq,"Movie TV-MA dramas, international movies, thrillers unknown jide kosoko  omotola jalade-ekeinde  yemi blaq"
Movie,angamaly diaries,antony varghese  reshma rajan  binny rinky benjamin,india,TV-14,"action & adventure, comedies, dramas",Antony Varghese  Reshma Rajan  Binny Rinky Benjamin,"Movie TV-14 action & adventure, comedies, dramas india antony varghese  reshma rajan  binny rinky benjamin"
Movie,a champion heart,mandy grace  david de vos  donna rusch,united states,G,"children & family movies, dramas",Mandy Grace  David de Vos  Donna Rusch,"Movie G children & family movies, dramas united states mandy grace  david de vos  donna rusch"
Movie,worth,michael keaton  stanley tucci  amy ryan,unknown,PG-13,dramas,Michael Keaton  Stanley Tucci  Amy Ryan,Movie PG-13 dramas unknown michael keaton  stanley tucci  amy ryan
Movie,afterlife of the party,victoria justice  midori francis  robyn scott,unknown,TV-PG,"comedies, romantic movies",Victoria Justice  Midori Francis  Robyn Scott,"Movie TV-PG comedies, romantic movies unknown victoria justice  midori francis  robyn scott"
Movie,anjaam,madhuri dixit  shah rukh khan  tinnu anand,india,TV-14,"dramas, international movies, thrillers",Madhuri Dixit  Shah Rukh Khan  Tinnu Anand,"Movie TV-14 dramas, international movies, thrillers india madhuri dixit  shah rukh khan  tinnu anand"
Movie,bright star,abbie cornish  ben whishaw  paul schneider,"united kingdom, australia, france",PG,"dramas, romantic movies",Abbie Cornish  Ben Whishaw  Paul Schneider,"Movie PG dramas, romantic movies united kingdom, australia, france abbie cornish  ben whishaw  paul schneider"
Movie,dhanak,krrish chhabria  hetal gada  vipin sharma,india,TV-PG,"comedies, dramas, independent movies",Krrish Chhabria  Hetal Gada  Vipin Sharma,"Movie TV-PG comedies, dramas, independent movies india krrish chhabria  hetal gada  vipin sharma"
Movie,final account,unknown,"united kingdom, united states",PG-13,documentaries,unknown,"Movie PG-13 documentaries united kingdom, united states unknown"
Movie,gurgaon,akshay oberoi  pankaj tripathi  ragini khanna,india,TV-14,"dramas, international movies, thrillers",Akshay Oberoi  Pankaj Tripathi  Ragini Khanna,"Movie TV-14 dramas, international movies, thrillers india akshay oberoi  pankaj tripathi  ragini khanna"
Movie,here and there,janine gutierrez  jc santos  victor anastacio,unknown,TV-MA,"dramas, international movies, romantic movies",Janine Gutierrez  JC Santos  Victor Anastacio,"Movie TV-MA dramas, international movies, romantic movies unknown janine gutierrez  jc santos  victor anastacio"
Movie,in the cut,meg ryan  mark ruffalo  jennifer jason leigh,"united kingdom, australia, france, united states",R,thrillers,Meg Ryan  Mark Ruffalo  Jennifer Jason Leigh,"Movie R thrillers united kingdom, australia, france, united states meg ryan  mark ruffalo  jennifer jason leigh"
Movie,shikara,aadil khan  sadia khateeb  zain khan durrani,india,TV-14,"dramas, international movies, romantic movies",Aadil Khan  Sadia Khateeb  Zain Khan Durrani,"Movie TV-14 dramas, international movies, romantic movies india aadil khan  sadia khateeb  zain khan durrani"
Movie,a cinderella story,hilary duff  chad michael murray  jennifer coolidge,"united states, canada",PG,"children & family movies, comedies",Hilary Duff  Chad Michael Murray  Jennifer Coolidge,"Movie PG children & family movies, comedies united states, canada hilary duff  chad michael murray  jennifer coolidge"
Movie,agatha christie's crooked house,glenn close  terence stamp  max irons,unknown,PG-13,"dramas, international movies, thrillers",Glenn Close  Terence Stamp  Max Irons,"Movie PG-13 dramas, international movies, thrillers unknown glenn close  terence stamp  max irons"
Movie,an unfinished life,robert redford  jennifer lopez  morgan freeman,"germany, united states",PG-13,dramas,Robert Redford  Jennifer Lopez  Morgan Freeman,"Movie PG-13 dramas germany, united states robert redford  jennifer lopez  morgan freeman"
Movie,barbie big city big dreams,america young  amber may  giselle fernandez,unknown,TV-Y,"children & family movies, music & musicals",America Young  Amber May  Giselle Fernandez,"Movie TV-Y children & family movies, music & musicals unknown america young  amber may  giselle fernandez"
Movie,blade runner: the final cut,harrison ford  rutger hauer  sean young,united states,R,"action & adventure, classic movies, cult movies",Harrison Ford  Rutger Hauer  Sean Young,"Movie R action & adventure, classic movies, cult movies united states harrison ford  rutger hauer  sean young"
Movie,chappie,sharlto copley  hugh jackman  sigourney weaver,"south africa, united states",R,"action & adventure, sci-fi & fantasy",Sharlto Copley  Hugh Jackman  Sigourney Weaver,"Movie R action & adventure, sci-fi & fantasy south africa, united states sharlto copley  hugh jackman  sigourney weaver"
Movie,clear and present danger,harrison ford  willem dafoe  anne archer,"united states, mexico",PG-13,"action & adventure, dramas",Harrison Ford  Willem Dafoe  Anne Archer,"Movie PG-13 action & adventure, dramas united states, mexico harrison ford  willem dafoe  anne archer"
Movie,cliffhanger,sylvester stallone  john lithgow  michael rooker,"united states, italy, france, japan",R,action & adventure,Sylvester Stallone  John Lithgow  Michael Rooker,"Movie R action & adventure united states, italy, france, japan sylvester stallone  john lithgow  michael rooker"
Movie,cold mountain,jude law  nicole kidman  renée zellweger,"united states, italy, romania, united kingdom",R,"dramas, romantic movies",Jude Law  Nicole Kidman  Renée Zellweger,"Movie R dramas, romantic movies united states, italy, romania, united kingdom jude law  nicole kidman  renée zellweger"
Movie,crocodile dundee in los angeles,paul hogan  linda kozlowski  jere burns,"australia, united states",PG,"action & adventure, comedies",Paul Hogan  Linda Kozlowski  Jere Burns,"Movie PG action & adventure, comedies australia, united states paul hogan  linda kozlowski  jere burns"
Movie,dear john,channing tatum  amanda seyfried  richard jenkins,united states,PG-13,"dramas, romantic movies",Channing Tatum  Amanda Seyfried  Richard Jenkins,"Movie PG-13 dramas, romantic movies united states channing tatum  amanda seyfried  richard jenkins"
Movie,do the right thing,danny aiello  ossie davis  ruby dee,united states,R,"classic movies, comedies, dramas",Danny Aiello  Ossie Davis  Ruby Dee,"Movie R classic movies, comedies, dramas united states danny aiello  ossie davis  ruby dee"
Movie,"el patrón, radiografía de un crimen",joaquín furriel  luis ziembrowski  guillermo pfening,"argentina, venezuela",TV-MA,"dramas, international movies, thrillers",Joaquín Furriel  Luis Ziembrowski  Guillermo Pfening,"Movie TV-MA dramas, international movies, thrillers argentina, venezuela joaquín furriel  luis ziembrowski  guillermo pfening"
Movie,extraction,bruce willis  kellan lutz  gina carano,"united states, united kingdom, canada",R,action & adventure,Bruce Willis  Kellan Lutz  Gina Carano,"Movie R action & adventure united states, united kingdom, canada bruce willis  kellan lutz  gina carano"
Movie,freedom writers,hilary swank  patrick dempsey  scott glenn,"germany, united states",PG-13,dramas,Hilary Swank  Patrick Dempsey  Scott Glenn,"Movie PG-13 dramas germany, united states hilary swank  patrick dempsey  scott glenn"
Movie,green lantern,ryan reynolds  blake lively  peter sarsgaard,united states,PG-13,"action & adventure, sci-fi & fantasy",Ryan Reynolds  Blake Lively  Peter Sarsgaard,"Movie PG-13 action & adventure, sci-fi & fantasy united states ryan reynolds  blake lively  peter sarsgaard"
Movie,house party,christopher reid  christopher martin  robin harris,united states,R,"comedies, cult movies",Christopher Reid  Christopher Martin  Robin Harris,"Movie R comedies, cult movies united states christopher reid  christopher martin  robin harris"
Movie,house party 2,christopher reid  christopher martin  martin lawrence,united states,R,"comedies, cult movies, music & musicals",Christopher Reid  Christopher Martin  Martin Lawrence,"Movie R comedies, cult movies, music & musicals united states christopher reid  christopher martin  martin lawrence"
Movie,house party 3,christopher reid  christopher martin  tisha campbell,united states,R,"comedies, music & musicals",Christopher Reid  Christopher Martin  Tisha Campbell,"Movie R comedies, music & musicals united states christopher reid  christopher martin  tisha campbell"
Movie,i got the hook up,master p  anthony johnson  gretchen palmer,united states,R,"action & adventure, comedies",Master P  Anthony Johnson  Gretchen Palmer,"Movie R action & adventure, comedies united states master p  anthony johnson  gretchen palmer"
Movie,in too deep,omar epps  ll cool j  nia long,united states,R,thrillers,Omar Epps  LL Cool J  Nia Long,Movie R thrillers united states omar epps  ll cool j  nia long
Movie,initial d,jay chou  anne suzuki  edison chen,"china, hong kong",TV-14,"action & adventure, international movies",Jay Chou  Anne Suzuki  Edison Chen,"Movie TV-14 action & adventure, international movies china, hong kong jay chou  anne suzuki  edison chen"
Movie,janoskians: untold and untrue,jai brooks  luke brooks  james yammouni,united states,TV-MA,comedies,Jai Brooks  Luke Brooks  James Yammouni,Movie TV-MA comedies united states jai brooks  luke brooks  james yammouni
Movie,labyrinth,david bowie  jennifer connelly  frank oz,"united kingdom, united states",PG,"action & adventure, children & family movies, cult movies",David Bowie  Jennifer Connelly  Frank Oz,"Movie PG action & adventure, children & family movies, cult movies united kingdom, united states david bowie  jennifer connelly  frank oz"
Movie,letters to juliet,amanda seyfried  christopher egan  gael garcía bernal,united states,PG,"comedies, dramas, romantic movies",Amanda Seyfried  Christopher Egan  Gael García Bernal,"Movie PG comedies, dramas, romantic movies united states amanda seyfried  christopher egan  gael garcía bernal"
Movie,level 16,katie douglas  celina martin  peter outerbridge,canada,TV-14,"sci-fi & fantasy, thrillers",Katie Douglas  Celina Martin  Peter Outerbridge,"Movie TV-14 sci-fi & fantasy, thrillers canada katie douglas  celina martin  peter outerbridge"
Movie,love don't cost a thing,nick cannon  christina milian  kenan thompson,united states,PG-13,"comedies, romantic movies",Nick Cannon  Christina Milian  Kenan Thompson,"Movie PG-13 comedies, romantic movies united states nick cannon  christina milian  kenan thompson"
Movie,love in a puff,miriam chin wah yeung  shawn yue  singh hartihan bitto,hong kong,TV-MA,"comedies, dramas, international movies",Miriam Chin Wah Yeung  Shawn Yue  Singh Hartihan Bitto,"Movie TV-MA comedies, dramas, international movies hong kong miriam chin wah yeung  shawn yue  singh hartihan bitto"
Movie,mars attacks!,jack nicholson  glenn close  annette bening,united states,PG-13,"comedies, cult movies, sci-fi & fantasy",Jack Nicholson  Glenn Close  Annette Bening,"Movie PG-13 comedies, cult movies, sci-fi & fantasy united states jack nicholson  glenn close  annette bening"
Movie,marshall,chadwick boseman  josh gad  kate hudson,"united states, china, hong kong",PG-13,dramas,Chadwick Boseman  Josh Gad  Kate Hudson,"Movie PG-13 dramas united states, china, hong kong chadwick boseman  josh gad  kate hudson"
Movie,my boss's daughter,ashton kutcher  tara reid  jeffrey tambor,united states,R,"comedies, romantic movies",Ashton Kutcher  Tara Reid  Jeffrey Tambor,"Movie R comedies, romantic movies united states ashton kutcher  tara reid  jeffrey tambor"
Movie,mystery men,ben stiller  hank azaria  william h. macy,united states,PG-13,"action & adventure, comedies",Ben Stiller  Hank Azaria  William H. Macy,"Movie PG-13 action & adventure, comedies united states ben stiller  hank azaria  william h. macy"
Movie,once upon a time in america,robert de niro  james woods  elizabeth mcgovern,"italy, united states",R,"classic movies, dramas",Robert De Niro  James Woods  Elizabeth McGovern,"Movie R classic movies, dramas italy, united states robert de niro  james woods  elizabeth mcgovern"
Movie,open season 2,joel mchale  mike epps  jane krakowski,"united states, canada",PG,"children & family movies, comedies",Joel McHale  Mike Epps  Jane Krakowski,"Movie PG children & family movies, comedies united states, canada joel mchale  mike epps  jane krakowski"
Movie,osmosis jones,chris rock  laurence fishburne  david hyde pierce,united states,PG,"action & adventure, children & family movies, comedies",Chris Rock  Laurence Fishburne  David Hyde Pierce,"Movie PG action & adventure, children & family movies, comedies united states chris rock  laurence fishburne  david hyde pierce"
Movie,poseidon,josh lucas  kurt russell  jacinda barrett,united states,PG-13,"action & adventure, dramas",Josh Lucas  Kurt Russell  Jacinda Barrett,"Movie PG-13 action & adventure, dramas united states josh lucas  kurt russell  jacinda barrett"
Movie,rhyme & reason,too $hort  b-real  kurtis blow,united states,R,"documentaries, music & musicals",Too $hort  B-Real  Kurtis Blow,"Movie R documentaries, music & musicals united states too $hort  b-real  kurtis blow"
Movie,same kind of different as me,greg kinnear  renée zellweger  djimon hounsou,united states,PG-13,"dramas, faith & spirituality",Greg Kinnear  Renée Zellweger  Djimon Hounsou,"Movie PG-13 dramas, faith & spirituality united states greg kinnear  renée zellweger  djimon hounsou"
Movie,school of rock,jack black  joan cusack  mike white,"united states, germany",PG-13,"comedies, music & musicals",Jack Black  Joan Cusack  Mike White,"Movie PG-13 comedies, music & musicals united states, germany jack black  joan cusack  mike white"
Movie,snervous tyler oakley,tyler oakley,united states,PG-13,"documentaries, lgbtq movies",Tyler Oakley,"Movie PG-13 documentaries, lgbtq movies united states tyler oakley"
Movie,tears of the sun,bruce willis  monica bellucci  cole hauser,united states,R,"action & adventure, dramas",Bruce Willis  Monica Bellucci  Cole Hauser,"Movie R action & adventure, dramas united states bruce willis  monica bellucci  cole hauser"
Movie,the blue lagoon,brooke shields  christopher atkins  leo mckern,united states,R,"dramas, romantic movies",Brooke Shields  Christopher Atkins  Leo McKern,"Movie R dramas, romantic movies united states brooke shields  christopher atkins  leo mckern"
Movie,the golden child,eddie murphy  j.l. reate  charles dance,united states,PG-13,"action & adventure, comedies",Eddie Murphy  J.L. Reate  Charles Dance,"Movie PG-13 action & adventure, comedies united states eddie murphy  j.l. reate  charles dance"
Movie,the guns of navarone,gregory peck  david niven  anthony quinn,"united kingdom, united states",TV-14,"action & adventure, classic movies",Gregory Peck  David Niven  Anthony Quinn,"Movie TV-14 action & adventure, classic movies united kingdom, united states gregory peck  david niven  anthony quinn"
Movie,the interview,james franco  seth rogen  lizzy caplan,united states,R,"action & adventure, comedies",James Franco  Seth Rogen  Lizzy Caplan,"Movie R action & adventure, comedies united states james franco  seth rogen  lizzy caplan"
Movie,the nutty professor,eddie murphy  jada pinkett smith  james coburn,united states,PG-13,"comedies, romantic movies",Eddie Murphy  Jada Pinkett Smith  James Coburn,"Movie PG-13 comedies, romantic movies united states eddie murphy  jada pinkett smith  james coburn"
